player,position,team,adp
Bijan Robinson,RB,ATL,1.6
Jahmyr Gibbs,RB,DET,1.9
Puka Nacua,WR,LAR,2.7
Ja'Marr Chase,WR,CIN,4.0
Christian McCaffrey,RB,SF,4.9
Jaxon Smith-Njigba,WR,SEA,6.0
Amon-Ra St. Brown,WR,DET,7.5
Jonathan Taylor,RB,IND,7.7
De'Von Achane,RB,MIA,9.1
Justin Jefferson,WR,MIN,10.1
CeeDee Lamb,WR,DAL,10.6
Ashton Jeanty,RB,LV,12.3
Drake London,WR,ATL,12.6
James Cook III,RB,BUF,13.7
A.J. Brown,WR,NE,14.1
Derrick Henry,RB,BAL,15.5
Chase Brown,RB,CIN,16.0
Omarion Hampton,RB,LAC,16.2
George Pickens,WR,DAL,18.1
Saquon Barkley,RB,PHI,19.5
Chris Olave,WR,NO,21.0
Jeremiyah Love,RB,ARI,22.5
Kenneth Walker III,RB,KC,22.6
Nico Collins,WR,HOU,23.1
Zay Flowers,WR,BAL,25.1
Tee Higgins,WR,CIN,26.5
Rashee Rice,WR,KC,27.0
Garrett Wilson,WR,NYJ,27.5
DeVonta Smith,WR,PHI,28.7
Josh Jacobs,RB,GB,28.8
Trey McBride,TE,ARI,28.9
Josh Allen,QB,BUF,29.2
Breece Hall,RB,NYJ,30.5
Kyren Williams,RB,LAR,32.5
Tetairoa McMillan,WR,CAR,33.2
Javonte Williams,RB,DAL,35.0
Ladd McConkey,WR,LAC,35.9
Brock Bowers,TE,LV,36.2
Terry McLaurin,WR,WAS,36.5
Cam Skattebo,RB,NYG,37.7
Travis Etienne Jr.,RB,NO,37.7
Davante Adams,WR,LAR,40.2
Jaylen Waddle,WR,DEN,41.4
Malik Nabers,WR,NYG,43.6
Emeka Egbuka,WR,TB,45.2
Luther Burden III,WR,CHI,45.6
Colston Loveland,TE,CHI,45.8
Jameson Williams,WR,DET,46.7
Bucky Irving,RB,TB,47.3
Joe Burrow,QB,CIN,47.8
D'Andre Swift,RB,CHI,48.0
Quinshon Judkins,RB,CLE,50.1
Mike Evans,WR,SF,50.3
Tyler Warren,TE,IND,54.7
Rome Odunze,WR,CHI,54.9
Lamar Jackson,QB,BAL,55.3
David Montgomery,RB,HOU,56.0
DK Metcalf,WR,PIT,56.6
TreVeyon Henderson,RB,NE,58.1
Alec Pierce,WR,IND,60.2
Christian Watson,WR,GB,60.3
