player,position,team,adp,adp_round,adp_pos_rank,percent_drafted
Jahmyr Gibbs,RB,Det,1.3,1.0,,1.00
Bijan Robinson,RB,Atl,2.1,1.0,,1.00
Ja'Marr Chase,WR,Cin,3.5,1.0,,1.00
Puka Nacua,WR,LAR,5.0,1.0,,1.00
Jonathan Taylor,RB,Ind,5.9,1.0,,1.00
Christian McCaffrey,RB,SF,6.1,1.0,,1.00
Jaxon Smith-Njigba,WR,Sea,7.4,1.1,,1.00
Amon-Ra St. Brown,WR,Det,7.9,1.1,,1.00
James Cook III,RB,Buf,9.3,1.3,,1.00
Saquon Barkley,RB,Phi,11.0,1.6,,1.00
CeeDee Lamb,WR,Dal,11.5,1.7,,1.00
Justin Jefferson,WR,Min,13.4,2.0,,1.00
Kenneth Walker III,RB,KC,14.5,2.1,,1.00
Chase Brown,RB,Cin,15.4,2.1,,1.00
De'Von Achane,RB,Mia,15.6,2.1,,1.00
Derrick Henry,RB,Bal,16.6,2.1,,1.00
Omarion Hampton,RB,LAC,17.9,2.2,,1.00
Ashton Jeanty,RB,LV,19.1,2.5,,1.00
Drake London,WR,Atl,20.7,2.6,,1.00
Brock Bowers,TE,LV,20.8,2.6,,1.00
Nico Collins,WR,Hou,21.1,2.6,,1.00
Josh Allen,QB,Buf,21.5,2.7,,1.00
George Pickens,WR,Dal,22.6,2.8,,1.00
A.J. Brown,WR,NE,23.9,2.9,,1.00
Kyren Williams,RB,LAR,27.6,3.3,,1.00
Trey McBride,TE,Ari,28.5,3.4,,1.00
DeVonta Smith,WR,Phi,29.4,3.4,,1.00
Malik Nabers,WR,NYG,29.8,3.4,,1.00
Jeremiyah Love,RB,Ari,29.9,3.5,,1.00
Chris Olave,WR,NO,30.0,3.5,,1.00
Javonte Williams,RB,Dal,32.2,3.8,,1.00
Tee Higgins,WR,Cin,33.9,3.9,,1.00
Breece Hall,RB,NYJ,34.3,4.0,,1.00
Zay Flowers,WR,Bal,35.4,4.1,,1.00
Rashee Rice,WR,KC,36.9,4.2,,1.00
Jaylen Waddle,WR,Den,38.9,4.4,,1.00
Lamar Jackson,QB,Bal,39.1,4.4,,1.00
Colston Loveland,TE,Chi,39.2,4.4,,1.00
Travis Etienne Jr.,RB,NO,41.2,4.7,,1.00
Tetairoa McMillan,WR,Car,41.8,4.7,,1.00
Cam Skattebo,RB,NYG,42.6,4.8,,1.00
Ladd McConkey,WR,LAC,44.5,5.0,,1.00
D'Andre Swift,RB,Chi,45.0,5.1,,1.00
Garrett Wilson,WR,NYJ,46.0,5.1,,1.00
Emeka Egbuka,WR,TB,46.5,5.2,,1.00
Tyler Warren,TE,Ind,46.7,5.2,,1.00
Drake Maye,QB,NE,48.1,5.5,,1.00
Joe Burrow,QB,Cin,51.0,5.7,,1.00
Bucky Irving,RB,TB,52.8,5.8,,1.00
David Montgomery,RB,Hou,53.1,5.9,,1.00
Quinshon Judkins,RB,Cle,54.5,6.0,,1.00
Jalen Hurts,QB,Phi,55.0,6.1,,1.00
Terry McLaurin,WR,Was,55.1,6.0,,1.00
Luther Burden III,WR,Chi,56.8,6.2,,1.00
Jayden Daniels,QB,Was,56.8,6.3,,1.00
DJ Moore,WR,Buf,57.4,6.3,,1.00
Davante Adams,WR,LAR,58.4,6.4,,1.00
Tucker Kraft,TE,GB,59.6,6.6,,1.00
Bhayshul Tuten,RB,Jax,61.6,6.7,,1.00
Jadarian Price,RB,Sea,62.8,6.8,,1.00
Sam LaPorta,TE,Det,63.0,6.9,,1.00
Josh Jacobs,RB,GB,63.1,6.8,,0.87
Jameson Williams,WR,Det,64.7,7.1,,1.00
Caleb Williams,QB,Chi,65.8,7.2,,1.00
Rome Odunze,WR,Chi,67.1,7.3,,1.00
Christian Watson,WR,GB,67.7,7.4,,1.00
TreVeyon Henderson,RB,NE,69.1,7.5,,1.00
Justin Herbert,QB,LAC,69.9,7.6,,1.00
Harold Fannin Jr.,TE,Cle,70.1,7.6,,1.00
Mike Evans,WR,SF,70.9,7.7,,1.00
Kyle Pitts Sr.,TE,Atl,71.6,7.7,,1.00
Dak Prescott,QB,Dal,73.2,7.9,,1.00
Parker Washington,WR,Jax,75.2,8.1,,1.00
Rhamondre Stevenson,RB,NE,75.2,8.1,,1.00
Jaylen Warren,RB,Pit,75.5,8.1,,1.00
Marvin Harrison Jr.,WR,Ari,78.1,8.4,,1.00
George Kittle,TE,SF,80.6,8.6,,1.00
Trevor Lawrence,QB,Jax,82.0,8.8,,1.00
Carnell Tate,WR,Ten,82.6,8.9,,1.00
Brian Thomas Jr.,WR,Jax,83.7,9.0,,1.00
DK Metcalf,WR,Pit,85.0,9.1,,1.00
MarShawn Lloyd,RB,GB,85.1,9.1,,0.51
Tony Pollard,RB,Ten,86.1,9.2,,1.00
Rico Dowdle,RB,Pit,87.1,9.3,,1.00
Rams,DEF,LAR,87.1,9.3,,1.00
Brandon Aubrey,K,Dal,88.7,9.5,,1.00
Jonathon Brooks,RB,Car,89.8,9.6,,0.97
Chuba Hubbard,RB,Car,91.0,9.7,,1.00
Chris Godwin Jr.,WR,TB,94.0,10.0,,1.00
J.K. Dobbins,RB,Den,94.1,10.0,,1.00
Jaxson Dart,QB,NYG,94.9,10.1,,1.00
Travis Kelce,TE,KC,95.2,10.1,,1.00
Texans,DEF,Hou,95.5,10.2,,1.00
Dalton Kincaid,TE,Buf,96.1,10.2,,1.00
Alec Pierce,WR,Ind,96.9,10.3,,0.99
Brock Purdy,QB,SF,98.1,10.5,,0.99
Bo Nix,QB,Den,98.3,10.5,,0.99
Matthew Stafford,QB,LAR,99.2,10.5,,0.98
Blake Corum,RB,LAR,99.6,10.6,,1.00
Michael Wilson,WR,Ari,100.6,10.7,,0.99
Josh Downs,WR,Ind,103.8,11.0,,0.98
Broncos,DEF,Den,104.0,11.0,,1.00
Dallas Goedert,TE,Phi,104.2,11.1,,0.99
Jacory Croskey-Merritt,RB,Was,105.0,11.1,,0.97
Jordyn Tyson,WR,NO,105.3,11.2,,0.51
Patrick Mahomes,QB,KC,105.6,11.2,,0.97
Quentin Johnston,WR,LAC,106.1,11.2,,0.97
Stefon Diggs,WR,Was,107.0,11.3,,0.88
De'Zhaun Stribling,WR,SF,107.8,11.4,,0.70
Courtland Sutton,WR,Den,108.1,11.4,,0.99
Isaiah Likely,TE,NYG,109.2,11.6,,0.99
Jordan Mason,RB,Min,110.6,11.7,,0.94
RJ Harvey,RB,Den,110.6,11.7,,0.95
Seahawks,DEF,Sea,110.6,11.7,,1.00
Jared Goff,QB,Det,112.0,11.8,,0.94
Kyle Monangai,RB,Chi,112.7,11.9,,0.89
Kyler Murray,QB,Min,113.4,11.9,,0.91
Jayden Reed,WR,GB,113.6,12.0,,0.97
Mark Andrews,TE,Bal,113.6,12.0,,0.97
Jordan Addison,WR,Min,114.8,12.1,,0.97
Aaron Rodgers,QB,Pit,114.9,11.9,,0.02
Brian Robinson,RB,Atl,117.1,12.8,,0.06
Fernando Mendoza,QB,LV,117.4,12.2,,0.04
Jake Ferguson,TE,Dal,117.6,12.3,,0.91
Ka'imi Fairbairn,K,Hou,119.3,12.6,,1.00
Makai Lemon,WR,Phi,119.4,12.5,,0.87
Cooper Kupp,WR,Sea,119.9,12.5,,0.04
Bryce Young,QB,Car,120.7,12.6,,0.02
Juwan Johnson,TE,NO,120.8,12.7,,0.65
Kenny Gainwell,RB,TB,120.9,12.7,,0.82
Jordan Love,QB,GB,121.4,12.7,,0.70
Michael Pittman Jr.,WR,Pit,121.7,12.8,,0.92
KC Concepcion,WR,Cle,122.0,12.9,,0.71
Sam Darnold,QB,Sea,122.2,12.7,,0.18
Jason Myers,K,Sea,122.6,12.9,,1.00
Cam Ward,QB,Ten,122.8,12.9,,0.02
Pat Freiermuth,TE,Pit,123.1,12.9,,0.03
Isaac TeSlaa,WR,Det,123.3,12.9,,0.02
Ray Davis,RB,Buf,123.7,13.6,,0.02
Mike Washington Jr.,RB,LV,124.0,13.2,,0.21
Eagles,DEF,Phi,124.5,13.2,,1.00
Cameron Dicker,K,LAC,124.5,13.1,,1.00
Travis Hunter,WR,Jax,124.5,13.0,,0.05
Matthew Golden,WR,GB,124.6,13.1,,0.77
Malik Willis,QB,Mia,124.7,13.2,,0.36
AJ Barner,TE,Sea,124.7,13.0,,0.06
Aaron Jones Sr.,RB,Min,124.9,13.2,,0.60
Dalton Schultz,TE,Hou,124.9,12.9,,0.38
Isiah Pacheco,RB,Det,124.9,13.4,,0.06
Keenan Allen,WR,Ind,125.1,13.1,,0.05
49ers,DEF,SF,125.2,13.0,,0.07
Rachaad White,RB,Was,125.3,13.3,,0.52
Baker Mayfield,QB,TB,125.4,13.1,,0.40
Terrance Ferguson,TE,LAR,125.4,13.0,,0.17
Alvin Kamara,RB,NO,125.4,13.3,,0.11
Bears,DEF,Chi,125.4,13.0,,0.05
C.J. Stroud,QB,Hou,125.7,13.0,,0.10
Emmett Johnson,RB,KC,126.1,14.0,,0.02
Kayshon Boutte,WR,Hou,126.1,13.2,,0.02
Braelon Allen,RB,NYJ,126.2,14.1,,0.02
Oronde Gadsden,TE,LAC,126.4,13.3,,0.13
Chig Okonkwo,TE,Was,126.5,13.2,,0.37
Ja'Kobi Lane,WR,Bal,126.9,13.4,,0.03
Giants,DEF,NYG,126.9,13.2,,0.02
Deebo Samuel Sr.,WR,SF,127.2,13.4,,0.19
