Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam
"Ja'Marr Chase",WR,CIN,1,"Drafted (Round 1)","Kona’s Kicking Team"
"Saquon Barkley",RB,PHI,1,"Drafted (Round 1)","I LIKE BIG TDS"
"Bijan Robinson",RB,ATL,1,"Drafted (Round 1)","Berserker"
"Jahmyr Gibbs",RB,DET,1,"Drafted (Round 1)","Wailin Raylans"
"CeeDee Lamb",WR,DAL,1,"Drafted (Round 1)","Postino's Bandits"
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","Fat Lazy Americans"
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","MombaMentality"
"Derrick Henry",RB,BAL,1,"Drafted (Round 1)","Billy Goat Trash"
"Amon-Ra St. Brown",WR,DET,1,"Drafted (Round 1)","Rafi Bomb"
"Ashton Jeanty",RB,DAL,1,"Drafted (Round 1)","No Talent"
"Malik Nabers",WR,NYG,1,"Drafted (Round 1)","Oroszlanok"
"Jonathan Taylor",RB,IND,1,"Drafted (Round 1)","Dumpster Fire"
"Lamar Jackson",QB,BAL,2,"Drafted (Round 2)","Dumpster Fire"
"Drake London",WR,ATL,2,"Drafted (Round 2)","Oroszlanok"
"James Cook III",RB,BUF,2,"Drafted (Round 2)","No Talent"
"Josh Jacobs",RB,GB,2,"Drafted (Round 2)","Rafi Bomb"
"A.J. Brown",WR,PHI,2,"Drafted (Round 2)","Billy Goat Trash"
"Josh Allen",QB,BUF,2,"Drafted (Round 2)","MombaMentality"
"Trey McBride",TE,ARI,2,"Drafted (Round 2)","Fat Lazy Americans"
"Marvin Harrison Jr.",WR,ARI,2,"Drafted (Round 2)","Postino's Bandits"
"Mike Evans",WR,TB,2,"Drafted (Round 2)","Wailin Raylans"
"Alvin Kamara",RB,NO,2,"Drafted (Round 2)","Berserker"
"Omarion Hampton",RB,CAR,2,"Drafted (Round 2)","I LIKE BIG TDS"
"Chuba Hubbard",RB,CAR,2,"Drafted (Round 2)","Kona’s Kicking Team"
"George Kittle",TE,SF,3,"Drafted (Round 3)","Kona’s Kicking Team"
