Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Ja'Marr Chase",WR,CIN,1,"Drafted (Round 1)","Kona’s Kickers",NO
"Saquon Barkley",RB,PHI,1,"Drafted (Round 1)","I LIKE BIG TDS",NO
"Bijan Robinson",RB,ATL,1,"Drafted (Round 1)","Berserker",NO
"Jahmyr Gibbs",RB,DET,1,"Drafted (Round 1)","Wailin Raylans",NO
"CeeDee Lamb",WR,DAL,1,"Drafted (Round 1)","Postino's Banditos",NO
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","Fat Lazy Americans",NO
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","MombaMentality",NO
"Derrick Henry",RB,BAL,1,"Drafted (Round 1)","Billy Goat Tavern",NO
"Amon-Ra St. Brown",WR,DET,1,"Drafted (Round 1)","Rafi Bomb Returns!",NO
"Ashton Jeanty",RB,DAL,1,"Drafted (Round 1)","No Talent Ass Clowns",NO
"Malik Nabers",WR,NYG,1,"Drafted (Round 1)","Oroszlanok",NO
"Jonathan Taylor",RB,IND,1,"Drafted (Round 1)","Dumpster Fire",NO
"Lamar Jackson",QB,BAL,2,"Drafted (Round 2)","Dumpster Fire",NO
"Drake London",WR,ATL,2,"Drafted (Round 2)","Oroszlanok",NO
"James Cook III",RB,BUF,2,"Drafted (Round 2)","No Talent Ass Clowns",NO
"Josh Jacobs",RB,GB,2,"Drafted (Round 2)","Rafi Bomb Returns!",NO
"A.J. Brown",WR,PHI,2,"Drafted (Round 2)","Billy Goat Tavern",NO
"Josh Allen",QB,BUF,2,"Drafted (Round 2)","MombaMentality",NO
"Trey McBride",TE,ARI,2,"Drafted (Round 2)","Fat Lazy Americans",NO
"Marvin Harrison Jr.",WR,ARI,2,"Drafted (Round 2)","Postino's Banditos",NO
"Mike Evans",WR,TB,2,"Drafted (Round 2)","Wailin Raylans",NO
"Alvin Kamara",RB,NO,2,"Drafted (Round 2)","Berserker",NO
"Omarion Hampton",RB,CAR,2,"Drafted (Round 2)","I LIKE BIG TDS",NO
"Chuba Hubbard",RB,CAR,2,"Drafted (Round 2)","Kona’s Kickers",NO
"George Kittle",TE,SF,3,"Drafted (Round 3)","Kona’s Kickers",NO
"Garrett Wilson",WR,NYJ,3,"Drafted (Round 3)","I LIKE BIG TDS",NO
"TreVeyon Henderson",RB,NE,3,"Drafted (Round 3)","Berserker",NO
"Jalen Hurts",QB,PHI,3,"Drafted (Round 3)","Wailin Raylans",NO
"Kenneth Walker III",RB,SEA,3,"Drafted (Round 3)","Postino's Banditos",NO
"James Conner",RB,ARI,3,"Drafted (Round 3)","Fat Lazy Americans",NO
"Tyreek Hill",WR,MIA,3,"Drafted (Round 3)","MombaMentality",NO
"Joe Burrow",QB,CIN,3,"Drafted (Round 3)","Billy Goat Tavern",YES
"DK Metcalf",WR,SEA,3,"Drafted (Round 3)","Rafi Bomb Returns!",NO
"Travis Kelce",TE,KC,3,"Drafted (Round 3)","No Talent Ass Clowns",NO
"Terry McLaurin",WR,WAS,3,"Drafted (Round 3)","Oroszlanok",NO
"Davante Adams",WR,NYJ,3,"Drafted (Round 3)","Dumpster Fire",NO
"Tee Higgins",WR,CIN,4,"Drafted (Round 4)","Dumpster Fire",NO
"RJ Harvey",RB,DEN,4,"Drafted (Round 4)","Oroszlanok",NO
"DJ Moore",WR,CHI,4,"Drafted (Round 4)","No Talent Ass Clowns",NO
"Aaron Jones Sr.",RB,MIN,4,"Drafted (Round 4)","Rafi Bomb Returns!",NO
"Tony Pollard",RB,TEN,4,"Drafted (Round 4)","Billy Goat Tavern",NO
"Isiah Pacheco",RB,KC,4,"Drafted (Round 4)","MombaMentality",NO
"Breece Hall",RB,NYJ,4,"Drafted (Round 4)","Fat Lazy Americans",NO
"D'Andre Swift",RB,CHI,4,"Drafted (Round 4)","Postino's Banditos",NO
"Xavier Worthy",WR,KC,4,"Drafted (Round 4)","Wailin Raylans",NO
"Travis Hunter",WR,JAX,4,"Drafted (Round 4)","Berserker",NO
"Patrick Mahomes",QB,KC,4,"Drafted (Round 4)","I LIKE BIG TDS",NO
"Jaylen Warren",RB,PIT,4,"Drafted (Round 4)","Kona’s Kickers",NO
"Jameson Williams",WR,DET,5,"Drafted (Round 5)","Kona’s Kickers",NO
"T.J. Hockenson",TE,MIN,5,"Drafted (Round 5)","I LIKE BIG TDS",NO
"Tetairoa McMillan",WR,CAR,5,"Drafted (Round 5)","Berserker",NO
"Courtland Sutton",WR,DEN,5,"Drafted (Round 5)","Wailin Raylans",NO
"DeVonta Smith",WR,PHI,5,"Drafted (Round 5)","Postino's Banditos",NO
"George Pickens",WR,DAL,5,"Drafted (Round 5)","Fat Lazy Americans",NO
"David Montgomery",RB,DET,5,"Drafted (Round 5)","MombaMentality",NO
"Emeka Egbuka",WR,TB,5,"Drafted (Round 5)","Billy Goat Tavern",NO
"Jaylen Waddle",WR,MIA,5,"Drafted (Round 5)","Rafi Bomb Returns!",NO
"Ricky Pearsall",WR,SF,5,"Drafted (Round 5)","No Talent Ass Clowns",NO
"Chris Olave",WR,NO,5,"Drafted (Round 5)","Oroszlanok",NO
"Kaleb Johnson",RB,PIT,5,"Drafted (Round 5)","Dumpster Fire",NO
"Mark Andrews",TE,BAL,6,"Drafted (Round 6)","Dumpster Fire",NO
"Rome Odunze",WR,CHI,6,"Drafted (Round 6)","Oroszlanok",NO
"Brian Thomas Jr.",WR,JAX,6,"Drafted (Round 6)","No Talent Ass Clowns",NO
"Tyrone Tracy Jr.",RB,NYG,6,"Drafted (Round 6)","Rafi Bomb Returns!",NO
"Jordan Mason",RB,SF,6,"Drafted (Round 6)","Billy Goat Tavern",NO
"Chase Brown",RB,CIN,6,"Drafted (Round 6)","MombaMentality",NO
