Player,Position,Team,DraftTeam
"Dak Prescott",QB,DAL,"Fat Lazy Americans"
"George Pickens",WR,DAL,"Fat Lazy Americans"
"Nico Collins",WR,HOU,"Fat Lazy Americans"
"Bucky Irving",RB,TB,"Fat Lazy Americans"
"Christian McCaffrey",RB,SF,"Fat Lazy Americans"
"Trey McBride",TE,ARI,"Fat Lazy Americans"
"Jaxon Smith-Njigba",WR,SEA,"Fat Lazy Americans"
"Joe Burrow",QB,CIN,"Fat Lazy Americans"
"Breece Hall",RB,NYJ,"Fat Lazy Americans"
"Kyle Monangai",RB,CHI,"Fat Lazy Americans"
"Oronde Gadsden",TE,LAC,"Fat Lazy Americans"
"Jayden Reed",WR,GB,"Fat Lazy Americans"
"Brian Robinson",RB,ATL,"Fat Lazy Americans"
"Andy Borregales",K,NE,"Fat Lazy Americans"
"Foyesade Oluokun",LB,JAX,"Fat Lazy Americans"
"Jamien Sherwood",LB,NYJ,"Fat Lazy Americans"
"Alex Singleton",LB,DEN,"Fat Lazy Americans"
