Player,Position,Team,DraftTeam,AcquisitionType,AcquisitionDate,AcquiredAfterWeek11
"Drake Maye",QB,NE,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"Tetairoa McMillan",WR,CAR,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"Jerry Jeudy",WR,CLE,"Billy Goat Tavern","Drafted","Drafted (Round 10)",NO
"Javonte Williams",RB,DEN,"Berserker","Drafted","Drafted (Round 9)",NO
"TreVeyon Henderson",RB,NE,"Berserker","Drafted","Drafted (Round 3)",NO
"Harold Fannin Jr.",TE,CLE,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"Bijan Robinson",RB,ATL,"Berserker","Drafted","Drafted (Round 1)",NO
"Cam Little",K,JAX,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"Devin White",LB,HOU,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"Lavonte David",LB,TB,"No Talent Ass Clowns","Drafted","Drafted (Round 15)",NO
"Brian Burns",DL,NYG,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"Rico Dowdle",RB,DAL,"Dumpster Fire","Drafted","Drafted (Round 14)",NO
"Michael Pittman Jr.",WR,IND,"Berserker","Drafted","Drafted (Round 8)",NO
"Rashee Rice",WR,KC,"Berserker","Drafted","Drafted (Round 11)",NO
"Mark Andrews",TE,BAL,"Dumpster Fire","Drafted","Drafted (Round 6)",NO
"Bo Nix",QB,DEN,"Berserker","Drafted","Drafted (Round 10)",NO
"Alvin Kamara",RB,NO,"Berserker","Drafted","Drafted (Round 2)",NO
"Matthew Stafford",QB,LAR,"Berserker","Free Agent Pickup","Waiver Pickup",NO
"A.J. Brown",WR,PHI,"Billy Goat Tavern","Drafted","Drafted (Round 2)",NO
"Ladd McConkey",WR,LAC,"Berserker","Drafted","Drafted (Round 6)",NO
"Derrick Henry",RB,BAL,"Billy Goat Tavern","Drafted","Drafted (Round 1)",NO
"Josh Jacobs",RB,GB,"Rafi Bomb Returns!","Drafted","Drafted (Round 2)",NO
"Tyler Warren",TE,IND,"Billy Goat Tavern","Drafted","Drafted (Round 8)",NO
"Blake Corum",RB,LAR,"Billy Goat Tavern","Free Agent Pickup","Waiver Pickup",NO
"Ka'imi Fairbairn",K,HOU,"Kona’s Kickers","Drafted","Drafted (Round 17)",NO
"Jack Campbell",LB,DET,"Billy Goat Tavern","Free Agent Pickup","Waiver Pickup",NO
"Carson Schwesinger",LB,CLE,"Billy Goat Tavern","Free Agent Pickup","Waiver Pickup",NO
"Tyrel Dodson",LB,MIA,"Billy Goat Tavern","Free Agent Pickup","Waiver Pickup",NO
"Tony Pollard",RB,TEN,"Billy Goat Tavern","Drafted","Drafted (Round 4)",NO
"Christian Watson",WR,GB,"Billy Goat Tavern","Free Agent Pickup","Waiver Pickup",NO
"Chuba Hubbard",RB,CAR,"Kona’s Kickers","Drafted","Drafted (Round 2)",NO
"Jaxson Dart",QB,NYG,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Dawson Knox",TE,BUF,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Emanuel Wilson",RB,GB,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Trevor Lawrence",QB,JAX,"Kona’s Kickers","Free Agent Pickup","Waiver Pickup",NO
"Tee Higgins",WR,CIN,"Dumpster Fire","Drafted","Drafted (Round 4)",NO
"Josh Downs",WR,IND,"Postino's Banditos","Drafted","Drafted (Round 10)",NO
"Jonathan Taylor",RB,IND,"Dumpster Fire","Drafted","Drafted (Round 1)",NO
"De'Von Achane",RB,MIA,"Dumpster Fire","Drafted","Drafted (Round 8)",NO
"Kyle Pitts Sr.",TE,ATL,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Jordan Addison",WR,MIN,"Fat Lazy Americans","Drafted","Drafted (Round 10)",NO
"Eddy Pineiro",K,CAR,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Bobby Wagner",LB,WAS,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Tuli Tuipulotu",DL,LAC,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Nick Emmanwori",DB,CAR,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"DJ Moore",WR,CHI,"No Talent Ass Clowns","Drafted","Drafted (Round 4)",NO
"Chris Rodriguez Jr.",RB,WAS,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Cam Skattebo",RB,AZ,"Dumpster Fire","Drafted","Drafted (Round 10)",NO
"Jake Tonges",TE,SF,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Michael Mayer",TE,LV,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Terrance Ferguson",TE,LAR,"Dumpster Fire","Free Agent Pickup","Waiver Pickup",NO
"Dak Prescott",QB,DAL,"Fat Lazy Americans","Drafted","Drafted (Round 9)",NO
"George Pickens",WR,DAL,"Fat Lazy Americans","Drafted","Drafted (Round 5)",NO
"Nico Collins",WR,HOU,"Fat Lazy Americans","Drafted","Drafted (Round 7)",NO
"Bucky Irving",RB,TB,"Fat Lazy Americans","Free Agent Pickup","Waiver Pickup",NO
"Christian McCaffrey",RB,SF,"Fat Lazy Americans","Drafted","Drafted (Round 1)",NO
