Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","McGibblets",NO
"Tyreek Hill",WR,MIA,1,"Drafted (Round 1)","Unicorn Love",NO
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","Jesus take the wheel",NO
"Austin Ekeler",RB,LAC,1,"Drafted (Round 1)","Kryponite",NO
"Travis Kelce",TE,KC,1,"Drafted (Round 1)","Kelce You in...",NO
"Nick Chubb",RB,CLE,1,"Drafted (Round 1)","My Balls Are Afoot",NO
"Bijan Robinson",RB,ATL,1,"Drafted (Round 1)","The Trophy Wives",NO
"Stefon Diggs",WR,BUF,1,"Drafted (Round 1)","BeaverFever",NO
"Garrett Wilson",WR,NYJ,1,"Drafted (Round 1)","The Curious Case of Cookus",NO
"A.J. Brown",WR,PHI,1,"Drafted (Round 1)","Dolphin Boobiez",NO
"CeeDee Lamb",WR,DAL,1,"Drafted (Round 1)","Fat Lazy Americans",NO
"Patrick Mahomes",QB,KC,1,"Drafted (Round 1)","Olivators",NO
"Derrick Henry",RB,TEN,2,"Drafted (Round 2)","Olivators",NO
"Joe Mixon",RB,CIN,2,"Drafted (Round 2)","Fat Lazy Americans",NO
"Jalen Hurts",QB,PHI,2,"Drafted (Round 2)","Dolphin Boobiez",NO
"Rhamondre Stevenson",RB,NE,2,"Drafted (Round 2)","The Curious Case of Cookus",NO
"Amon-Ra St. Brown",WR,DET,2,"Drafted (Round 2)","BeaverFever",NO
"Josh Allen",QB,BUF,2,"Drafted (Round 2)","The Trophy Wives",NO
"Justin Herbert",QB,LAC,2,"Drafted (Round 2)","My Balls Are Afoot",NO
"Davante Adams",WR,LV,2,"Drafted (Round 2)","Kelce You in...",NO
"Najee Harris",RB,PIT,2,"Drafted (Round 2)","Kryponite",NO
"Travis Etienne Jr.",RB,JAX,2,"Drafted (Round 2)","Jesus take the wheel",NO
"Mark Andrews",TE,BAL,2,"Drafted (Round 2)","Unicorn Love",NO
"Cooper Kupp",WR,LAR,2,"Drafted (Round 2)","McGibblets",NO
"Jahmyr Gibbs",RB,DET,3,"Drafted (Round 3)","McGibblets",NO
"Javonte Williams",RB,DEN,3,"Drafted (Round 3)","Unicorn Love",NO
"Tee Higgins",WR,CIN,3,"Drafted (Round 3)","Jesus take the wheel",NO
"Deebo Samuel Sr.",WR,SF,3,"Drafted (Round 3)","Kryponite",NO
"Aaron Jones Sr.",RB,GB,3,"Drafted (Round 3)","Kelce You in...",NO
"Josh Jacobs",RB,LV,3,"Drafted (Round 3)","My Balls Are Afoot",NO
