Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Ja'Marr Chase",WR,CIN,1,"Drafted (Round 1)","Shrimp Gang",NO
"Bijan Robinson",RB,ATL,1,"Drafted (Round 1)","Shanimals",NO
"Saquon Barkley",RB,PHI,1,"Drafted (Round 1)","Tremendous Slouch",NO
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","YoungHoe Puka",NO
"Derrick Henry",RB,BAL,1,"Drafted (Round 1)","Snookies Squad",NO
"Jahmyr Gibbs",RB,DET,1,"Drafted (Round 1)","Sheriff Of Paddy's",NO
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","CousinCamp",NO
"CeeDee Lamb",WR,DAL,1,"Drafted (Round 1)","Doug Exeter",NO
"Amon-Ra St. Brown",WR,DET,1,"Drafted (Round 1)","Fat Lazy Americans",NO
"Lamar Jackson",QB,BAL,1,"Drafted (Round 1)","Golden Domers 4 J&J",NO
"Josh Jacobs",RB,GB,1,"Drafted (Round 1)","NotSoNewlyWedz",NO
"Ashton Jeanty",RB,LV,1,"Drafted (Round 1)","Tough Nuts",NO
"Chase Brown",RB,CIN,2,"Drafted (Round 2)","Tough Nuts",NO
"Malik Nabers",WR,NYG,2,"Drafted (Round 2)","NotSoNewlyWedz",NO
"A.J. Brown",WR,NE,2,"Drafted (Round 2)","Golden Domers 4 J&J",NO
"Bucky Irving",RB,TB,2,"Drafted (Round 2)","Fat Lazy Americans",NO
"Ladd McConkey",WR,LAC,2,"Drafted (Round 2)","Doug Exeter",NO
"Josh Allen",QB,BUF,2,"Drafted (Round 2)","CousinCamp",NO
"Omarion Hampton",RB,LAC,2,"Drafted (Round 2)","Sheriff Of Paddy's",NO
"Mike Evans",WR,SF,2,"Drafted (Round 2)","Snookies Squad",NO
"James Cook III",RB,BUF,2,"Drafted (Round 2)","YoungHoe Puka",NO
"Jaxon Smith-Njigba",WR,SEA,2,"Drafted (Round 2)","Tremendous Slouch",NO
"George Kittle",TE,SF,2,"Drafted (Round 2)","Shanimals",NO
"Chuba Hubbard",RB,CAR,2,"Drafted (Round 2)","Shrimp Gang",NO
"Kenneth Walker III",RB,KC,3,"Drafted (Round 3)","Shrimp Gang",NO
"Jayden Daniels",QB,WAS,3,"Drafted (Round 3)","Shanimals",NO
"Tee Higgins",WR,CIN,3,"Drafted (Round 3)","Tremendous Slouch",NO
"Trey McBride",TE,ARI,3,"Drafted (Round 3)","YoungHoe Puka",NO
"Alvin Kamara",RB,NO,3,"Drafted (Round 3)","Snookies Squad",NO
"Jalen Hurts",QB,PHI,3,"Drafted (Round 3)","Sheriff Of Paddy's",NO
"James Conner",RB,ARI,3,"Drafted (Round 3)","CousinCamp",NO
"Joe Burrow",QB,CIN,3,"Drafted (Round 3)","Doug Exeter",NO
"TreVeyon Henderson",RB,NE,3,"Drafted (Round 3)","Fat Lazy Americans",NO
"Jonathan Taylor",RB,IND,3,"Drafted (Round 3)","Golden Domers 4 J&J",NO
"Patrick Mahomes",QB,KC,3,"Drafted (Round 3)","NotSoNewlyWedz",NO
"George Pickens",WR,DAL,3,"Drafted (Round 3)","Tough Nuts",NO
"Tyreek Hill",WR,MIA,4,"Drafted (Round 4)","Tough Nuts",NO
"Garrett Wilson",WR,NYJ,4,"Drafted (Round 4)","NotSoNewlyWedz",NO
"Breece Hall",RB,NYJ,4,"Drafted (Round 4)","Golden Domers 4 J&J",NO
"Davante Adams",WR,LAR,4,"Drafted (Round 4)","Fat Lazy Americans",NO
"Terry McLaurin",WR,WAS,4,"Drafted (Round 4)","Doug Exeter",NO
"Marvin Harrison Jr.",WR,ARI,4,"Drafted (Round 4)","CousinCamp",NO
"DK Metcalf",WR,PIT,4,"Drafted (Round 4)","Sheriff Of Paddy's",NO
"Brock Purdy",QB,SF,4,"Drafted (Round 4)","Snookies Squad",NO
"RJ Harvey",RB,DEN,4,"Drafted (Round 4)","YoungHoe Puka",NO
"Calvin Ridley",WR,TEN,4,"Drafted (Round 4)","Tremendous Slouch",NO
"Jameson Williams",WR,DET,4,"Drafted (Round 4)","Shanimals",NO
"Tony Pollard",RB,TEN,4,"Drafted (Round 4)","Shrimp Gang",NO
"Sam LaPorta",TE,DET,5,"Drafted (Round 5)","Shrimp Gang",NO
"D'Andre Swift",RB,CHI,5,"Drafted (Round 5)","Shanimals",NO
"Isiah Pacheco",RB,DET,5,"Drafted (Round 5)","Tremendous Slouch",NO
"DeVonta Smith",WR,PHI,5,"Drafted (Round 5)","YoungHoe Puka",NO
"Xavier Worthy",WR,KC,5,"Drafted (Round 5)","Snookies Squad",NO
"Tetairoa McMillan",WR,CAR,5,"Drafted (Round 5)","Sheriff Of Paddy's",NO
"Tyrone Tracy Jr.",RB,NYG,5,"Drafted (Round 5)","CousinCamp",NO
"David Montgomery",RB,HOU,5,"Drafted (Round 5)","Doug Exeter",NO
"De'Von Achane",RB,MIA,5,"Drafted (Round 5)","Fat Lazy Americans",NO
"DJ Moore",WR,BUF,5,"Drafted (Round 5)","Golden Domers 4 J&J",NO
"Aaron Jones Sr.",RB,MIN,5,"Drafted (Round 5)","NotSoNewlyWedz",NO
"Keon Coleman",WR,BUF,5,"Drafted (Round 5)","Tough Nuts",NO
"Jordan Mason",RB,MIN,6,"Drafted (Round 6)","Tough Nuts",NO
"Brock Bowers",TE,LV,6,"Drafted (Round 6)","NotSoNewlyWedz",NO
"Mark Andrews",TE,BAL,6,"Drafted (Round 6)","Golden Domers 4 J&J",NO
"Chris Olave",WR,NO,6,"Drafted (Round 6)","Fat Lazy Americans",NO
"Rashee Rice",WR,KC,6,"Drafted (Round 6)","Doug Exeter",NO
"Jaylen Warren",RB,PIT,6,"Drafted (Round 6)","CousinCamp",NO
"Zay Flowers",WR,BAL,6,"Drafted (Round 6)","Sheriff Of Paddy's",NO
"Travis Kelce",TE,KC,6,"Drafted (Round 6)","Snookies Squad",NO
"Cooper Kupp",WR,SEA,6,"Drafted (Round 6)","YoungHoe Puka",NO
"Emeka Egbuka",WR,TB,6,"Drafted (Round 6)","Tremendous Slouch",NO
"Travis Hunter",WR,JAX,6,"Drafted (Round 6)","Shanimals",NO
"Jaylen Waddle",WR,DEN,6,"Drafted (Round 6)","Shrimp Gang",NO
"Rome Odunze",WR,CHI,7,"Drafted (Round 7)","Shrimp Gang",NO
"Zach Charbonnet",RB,SEA,7,"Drafted (Round 7)","Shanimals",NO
"Kaleb Johnson",RB,PIT,7,"Drafted (Round 7)","Tremendous Slouch",NO
"Dak Prescott",QB,DAL,7,"Drafted (Round 7)","YoungHoe Puka",NO
"Brian Thomas Jr.",WR,JAX,7,"Drafted (Round 7)","Snookies Squad",NO
"Deebo Samuel Sr.",WR,SF,7,"Drafted (Round 7)","Sheriff Of Paddy's",NO
"J.K. Dobbins",RB,DEN,7,"Drafted (Round 7)","CousinCamp",NO
"Jerry Jeudy",WR,CLE,7,"Drafted (Round 7)","Doug Exeter",NO
"Kyler Murray",QB,MIN,7,"Drafted (Round 7)","Fat Lazy Americans",NO
"Jakobi Meyers",WR,JAX,7,"Drafted (Round 7)","Golden Domers 4 J&J",NO
"Stefon Diggs",WR,WAS,7,"Drafted (Round 7)","NotSoNewlyWedz",NO
"Kyle Pitts Sr.",TE,ATL,7,"Drafted (Round 7)","Tough Nuts",NO
"Michael Penix Jr.",QB,ATL,8,"Drafted (Round 8)","Tough Nuts",NO
"Ricky Pearsall",WR,SF,8,"Drafted (Round 8)","NotSoNewlyWedz",NO
"Travis Etienne Jr.",RB,NO,8,"Drafted (Round 8)","Golden Domers 4 J&J",NO
"Jacory Croskey-Merritt",RB,WAS,8,"Drafted (Round 8)","Fat Lazy Americans",NO
"Braelon Allen",RB,NYJ,8,"Drafted (Round 8)","Doug Exeter",NO
"Nico Collins",WR,HOU,8,"Drafted (Round 8)","CousinCamp",NO
"Matthew Golden",WR,GB,8,"Drafted (Round 8)","Sheriff Of Paddy's",NO
"T.J. Hockenson",TE,MIN,8,"Drafted (Round 8)","Snookies Squad",NO
"Tucker Kraft",TE,GB,8,"Drafted (Round 8)","Tremendous Slouch",NO
"Drake Maye",QB,NE,8,"Drafted (Round 8)","Shanimals",NO
"Tank Bigsby",RB,PHI,8,"Drafted (Round 8)","Shrimp Gang",NO
"Jauan Jennings",WR,MIN,9,"Drafted (Round 9)","Shrimp Gang",NO
"David Njoku",TE,LAC,9,"Drafted (Round 9)","Shanimals",NO
"Jordan Love",QB,GB,9,"Drafted (Round 9)","Tremendous Slouch",NO
"Bhayshul Tuten",RB,JAX,9,"Drafted (Round 9)","YoungHoe Puka",NO
"Javonte Williams",RB,DAL,9,"Drafted (Round 9)","Snookies Squad",NO
"Evan Engram",TE,DEN,9,"Drafted (Round 9)","Sheriff Of Paddy's",NO
"Jordan Addison",WR,MIN,9,"Drafted (Round 9)","CousinCamp",NO
