Rank,Player,Position,Team,Tag
1,Jahmyr Gibbs,RB,DET,Round 1
2,Bijan Robinson,RB,ATL,Round 1
3,Christian McCaffrey,RB,SF,Round 1
4,Jonathan Taylor,RB,IND,Round 1
5,Derrick Henry,RB,BAL,Round 1
6,De'Von Achane,RB,MIA,Round 1
7,James Cook III,RB,BUF,Round 1
8,Ja'Marr Chase,WR,CIN,Round 1
9,Jaxon Smith-Njigba,WR,SEA,Round 1
10,Amon-Ra St. Brown,WR,DET,Round 1
11,Drake London,WR,ATL,Round 1
12,CeeDee Lamb,WR,DAL,Round 1
13,Josh Allen,QB,BUF,Round 2
14,Saquon Barkley,RB,PHI,Round 2
15,Kenneth Walker III,RB,KC,Round 2
16,Ashton Jeanty,RB,LV,Round 2
17,Omarion Hampton,RB,LAC,Round 2
18,Jeremiyah Love,RB,ARI,Round 2
19,Justin Jefferson,WR,CLE,Round 2
20,Rashee Rice,WR,KC,Round 2
21,Chris Olave,WR,NO,Round 2
22,A.J. Brown,WR,NE,Round 2
23,Zay Flowers,WR,BAL,Round 2
24,Colston Loveland,TE,CHI,Round 2
25,Lamar Jackson,QB,BAL,Round 3
26,Joe Burrow,QB,CIN,Round 3
27,Jayden Daniels,QB,WAS,Round 3
28,Breece Hall,RB,NYJ,Round 3
29,D'Andre Swift,RB,CHI,Round 3
30,Quinshon Judkins,RB,CLE,Round 3
31,Bucky Irving,RB,TB,Round 3
32,Malik Nabers,WR,NYG,Round 3
33,Garrett Wilson,WR,NYJ,Round 3
34,Tetairoa McMillan,WR,CAR,Round 3
35,DeVonta Smith,WR,PHI,Round 3
36,Davante Adams,WR,LAR,Round 3
37,Jalen Hurts,QB,PHI,Round 4
38,Dak Prescott,QB,DAL,Round 4
39,Bhayshul Tuten,RB,JAC,Round 4
40,David Montgomery,RB,HOU,Round 4
41,Jaylen Warren,RB,PIT,Round 4
42,Tee Higgins,WR,CIN,Round 4
43,Jameson Williams,WR,DET,Round 4
44,Ladd McConkey,WR,LAC,Round 4
45,Terry McLaurin,WR,WAS,Round 4
46,Rome Odunze,WR,CHI,Round 4
47,Harold Fannin Jr.,TE,CLE,Round 4
48,George Kittle,TE,SF,Round 4
49,Matthew Stafford,QB,LAR,Round 5
50,Jadarian Price,RB,SEA,Round 5
51,TreVeyon Henderson,RB,NE,Round 5
52,Tony Pollard,RB,TEN,Round 5
53,Rhamondre Stevenson,RB,NE,Round 5
54,J.K. Dobbins,RB,DEN,Round 5
55,DJ Moore,WR,BUF,Round 5
56,Jaylen Waddle,WR,DEN,Round 5
57,Luther Burden III,WR,CHI,Round 5
58,Christian Watson,WR,GB,Round 5
59,Sam LaPorta,TE,DET,Round 5
60,Dallas Goedert,TE,PHI,Round 5
61,Trevor Lawrence,QB,JAC,Round 6
62,Rico Dowdle,RB,PIT,Round 6
63,Chuba Hubbard,RB,CAR,Round 6
64,Jonathon Brooks,RB,CAR,Round 6
65,MarShawn Lloyd,RB,GB,Round 6
66,Courtland Sutton,WR,DEN,Round 6
67,Alec Pierce,WR,IND,Round 6
68,Marvin Harrison Jr.,WR,ARI,Round 6
69,Mike Evans,WR,SF,Round 6
70,Carnell Tate,WR,TEN,Round 6
71,DK Metcalf,WR,PIT,Round 6
72,Travis Kelce,TE,KC,Round 6
73,Brock Purdy,QB,SF,Round 7
74,Kenny Gainwell,RB,TB,Round 7
75,Kyle Monangai,RB,CHI,Round 7
76,Rachaad White,RB,WAS,Round 7
77,Parker Washington,WR,JAC,Round 7
78,Brian Thomas Jr.,WR,JAC,Round 7
79,Michael Pittman Jr.,WR,PIT,Round 7
80,Tucker Kraft,TE,GB,Round 7
81,Mark Andrews,TE,BAL,Round 7
82,Isaiah Likely,TE,NYG,Round 7
83,Carson Schwesinger,IDP,CLE,Round 7
84,Cedric Gray,IDP,TEN,Round 7
85,Patrick Mahomes II,QB,KC,Round 8
86,Blake Corum,RB,LAR,Round 8
87,Aaron Jones Sr.,RB,MIN,Round 8
88,Jacory Croskey-Merritt,RB,WAS,Round 8
89,RJ Harvey,RB,DEN,Round 8
90,Jayden Reed,WR,GB,Round 8
91,Quentin Johnston,WR,LAC,Round 8
92,Jakobi Meyers,WR,JAC,Round 8
93,Chris Godwin Jr.,WR,TB,Round 8
94,Jordan Addison,WR,MIN,Round 8
95,Zack Baun,IDP,PHI,Round 8
96,Jordyn Brooks,IDP,MIA,Round 8
97,Jaxson Dart,QB,NYG,Round 9
98,Jordan Mason,RB,MIN,Round 9
99,Tyjae Spears,RB,TEN,Round 9
100,Woody Marks,RB,HOU,Round 9
101,Zach Charbonnet,RB,SEA,Round 9
102,Xavier Worthy,WR,KC,Round 9
103,Wan'Dale Robinson,WR,TEN,Round 9
104,De'Zhaun Stribling,WR,SF,Round 9
105,Jake Ferguson,TE,DAL,Round 9
106,Jack Campbell,IDP,DET,Round 9
107,Jamien Sherwood,IDP,NYJ,Round 9
108,Quay Walker,IDP,LV,Round 9
109,Bo Nix,QB,DEN,Round 10
110,Jared Goff,QB,DET,Round 10
111,Justice Hill,RB,BAL,Round 10
112,Alvin Kamara,RB,NO,Round 10
113,Chris Rodriguez Jr.,RB,JAC,Round 10
114,Mike Washington Jr.,RB,LV,Round 10
115,Matthew Golden,WR,GB,Round 10
116,Romeo Doubs,WR,NE,Round 10
117,Stefon Diggs,WR,WAS,Round 10
118,Deebo Samuel Sr.,WR,SF,Round 10
119,Fred Warner,IDP,SF,Round 10
120,Edgerrin Cooper,IDP,GB,Round 10
121,Kyler Murray,QB,MIN,Round 11
122,Keaton Mitchell,RB,LAC,Round 11
123,Dylan Sampson,RB,CLE,Round 11
124,KC Concepcion,WR,CLE,Round 11
125,Makai Lemon,WR,PHI,Round 11
126,Rashid Shaheed,WR,SEA,Round 11
127,Khalil Shakir,WR,BUF,Round 11
128,Hunter Henry,TE,NE,Round 11
129,Blake Cashman,IDP,MIN,Round 11
130,Roquan Smith,IDP,BAL,Round 11
131,Foyesade Oluokun,IDP,JAC,Round 11
132,Robert Spillane,IDP,NE,Round 11
133,Tyler Shough,QB,NO,Round 12
134,Braelon Allen,RB,NYJ,Round 12
135,Kaelon Black,RB,SF,Round 12
136,Josh Downs,WR,IND,Round 12
137,Jalen Coker,WR,CAR,Round 12
138,Juwan Johnson,TE,NO,Round 12
139,Devin Lloyd,IDP,CAR,Round 12
140,T.J. Edwards,IDP,CHI,Round 12
141,Ernest Jones IV,IDP,SEA,Round 12
142,Nakobe Dean,IDP,LV,Round 12
143,Jacob Rodriguez,IDP,MIA,Round 12
144,Devin Bush,IDP,,Round 12
145,Jordan Love,QB,GB,Round 13
146,Tyler Allgeier,RB,ARI,Round 13
147,Brian Robinson Jr.,RB,ATL,Round 13
148,Tank Bigsby,RB,PHI,Round 13
149,Calvin Ridley,WR,TEN,Round 13
150,Denzel Boston,WR,CLE,Round 13
151,Tre Tucker,WR,LV,Round 13
152,Kayshon Boutte,WR,HOU,Round 13
153,Brenton Strange,TE,JAC,Round 13
154,Daiyan Henley,IDP,LAC,Round 13
155,Nick Bolton,IDP,KC,Round 13
156,Nathan Landman,IDP,,Round 13
157,Isiah Pacheco,RB,DET,Round 14
158,Najee Harris,RB,NYG,Round 14
159,Keenan Allen,WR,IND,Round 14
160,Ja'Kobi Lane,WR,BAL,Round 14
161,Dalton Schultz,TE,HOU,Round 14
162,T.J. Hockenson,TE,MIN,Round 14
163,Tremaine Edmunds,IDP,NYG,Round 14
164,Alex Singleton,IDP,DEN,Round 14
165,Terrel Bernard,IDP,BUF,Round 14
166,DeMarvion Overshown,IDP,DAL,Round 14
167,Eric Wilson,IDP,MIN,Round 14
168,Kaden Elliss,IDP,NO,Round 14
169,Jordan James,RB,SF,Round 15
170,Tyrone Tracy Jr.,RB,NYG,Round 15
171,Jalen McMillan,WR,TB,Round 15
172,Jauan Jennings,WR,MIN,Round 15
173,Jalen Nailor,WR,LV,Round 15
174,Pat Freiermuth,TE,PIT,Round 15
175,Terrance Ferguson,TE,LAR,Round 15
