PosRank,OverallRank,Round,Player,Team
1,83,7,Carson Schwesinger,CLE
2,84,7,Cedric Gray,TEN
3,95,8,Zack Baun,PHI
4,96,8,Jordyn Brooks,MIA
5,106,9,Jack Campbell,DET
6,107,9,Jamien Sherwood,NYJ
7,108,9,Quay Walker,LV
8,119,10,Fred Warner,SF
9,120,10,Edgerrin Cooper,GB
10,129,11,Blake Cashman,MIN
11,130,11,Roquan Smith,BAL
12,131,11,Foyesade Oluokun,JAC
13,132,11,Robert Spillane,NE
14,139,12,Devin Lloyd,CAR
15,140,12,T.J. Edwards,CHI
16,141,12,Ernest Jones IV,SEA
17,142,12,Nakobe Dean,LV
18,143,12,Jacob Rodriguez,MIA
19,144,12,Devin Bush,
20,154,13,Daiyan Henley,LAC
21,155,13,Nick Bolton,KC
22,156,13,Nathan Landman,
23,163,14,Tremaine Edmunds,NYG
24,164,14,Alex Singleton,DEN
25,165,14,Terrel Bernard,BUF
26,166,14,DeMarvion Overshown,DAL
27,167,14,Eric Wilson,MIN
28,168,14,Kaden Elliss,NO
29,176,15,Demario Davis,NYJ
30,177,15,Dre Greenlaw,SF
31,178,15,Barrett Carter,CIN
32,179,15,Patrick Queen,PIT
33,180,15,Jihaad Campbell,PHI
34,189,16,Azeez Al-Shaair,HOU
35,190,16,Drue Tranquill,KC
36,191,16,Divine Deablo,ATL
37,192,16,Quincy Williams,CLE
38,202,17,Payton Wilson,PIT
39,203,17,Zaire Franklin,GB
40,204,17,Christian Elliss,NE
