OverallRank,Round,Player,Position,Team
1,1,Jahmyr Gibbs,RB,DET
2,1,Bijan Robinson,RB,ATL
3,1,Christian McCaffrey,RB,SF
4,1,Jonathan Taylor,RB,IND
5,1,Derrick Henry,RB,BAL
6,1,De'Von Achane,RB,MIA
7,1,James Cook III,RB,BUF
8,1,Ja'Marr Chase,WR,CIN
9,1,Jaxon Smith-Njigba,WR,SEA
10,1,Amon-Ra St. Brown,WR,DET
11,1,Drake London,WR,ATL
12,1,CeeDee Lamb,WR,DAL
13,2,Josh Allen,QB,BUF
14,2,Saquon Barkley,RB,PHI
15,2,Kenneth Walker III,RB,KC
16,2,Ashton Jeanty,RB,LV
17,2,Omarion Hampton,RB,LAC
18,2,Jeremiyah Love,RB,ARI
19,2,Justin Jefferson,WR,CLE
20,2,Rashee Rice,WR,KC
21,2,Chris Olave,WR,NO
22,2,A.J. Brown,WR,NE
23,2,Zay Flowers,WR,BAL
24,2,Colston Loveland,TE,CHI
25,3,Lamar Jackson,QB,BAL
26,3,Joe Burrow,QB,CIN
27,3,Jayden Daniels,QB,WAS
28,3,Breece Hall,RB,NYJ
29,3,D'Andre Swift,RB,CHI
30,3,Quinshon Judkins,RB,CLE
31,3,Bucky Irving,RB,TB
32,3,Malik Nabers,WR,NYG
33,3,Garrett Wilson,WR,NYJ
34,3,Tetairoa McMillan,WR,CAR
35,3,DeVonta Smith,WR,PHI
36,3,Davante Adams,WR,LAR
37,4,Jalen Hurts,QB,PHI
38,4,Dak Prescott,QB,DAL
39,4,Bhayshul Tuten,RB,JAC
40,4,David Montgomery,RB,HOU
41,4,Jaylen Warren,RB,PIT
42,4,Tee Higgins,WR,CIN
43,4,Jameson Williams,WR,DET
44,4,Ladd McConkey,WR,LAC
45,4,Terry McLaurin,WR,WAS
46,4,Rome Odunze,WR,CHI
47,4,Harold Fannin Jr.,TE,CLE
48,4,George Kittle,TE,SF
49,5,Matthew Stafford,QB,LAR
50,5,Jadarian Price,RB,SEA
51,5,TreVeyon Henderson,RB,NE
52,5,Tony Pollard,RB,TEN
53,5,Rhamondre Stevenson,RB,NE
54,5,J.K. Dobbins,RB,DEN
55,5,DJ Moore,WR,BUF
56,5,Jaylen Waddle,WR,DEN
57,5,Luther Burden III,WR,CHI
58,5,Christian Watson,WR,GB
59,5,Sam LaPorta,TE,DET
60,5,Dallas Goedert,TE,PHI
61,6,Trevor Lawrence,QB,JAC
62,6,Rico Dowdle,RB,PIT
63,6,Chuba Hubbard,RB,CAR
64,6,Jonathon Brooks,RB,CAR
65,6,MarShawn Lloyd,RB,GB
66,6,Courtland Sutton,WR,DEN
67,6,Alec Pierce,WR,IND
68,6,Marvin Harrison Jr.,WR,ARI
69,6,Mike Evans,WR,SF
70,6,Carnell Tate,WR,TEN
71,6,DK Metcalf,WR,PIT
72,6,Travis Kelce,TE,KC
73,7,Brock Purdy,QB,SF
74,7,Kenny Gainwell,RB,TB
75,7,Kyle Monangai,RB,CHI
76,7,Rachaad White,RB,WAS
77,7,Parker Washington,WR,JAC
78,7,Brian Thomas Jr.,WR,JAC
79,7,Michael Pittman Jr.,WR,PIT
80,7,Tucker Kraft,TE,GB
81,7,Mark Andrews,TE,BAL
82,7,Isaiah Likely,TE,NYG
83,7,Carson Schwesinger,IDP,CLE
84,7,Cedric Gray,IDP,TEN
85,8,Patrick Mahomes II,QB,KC
86,8,Blake Corum,RB,LAR
87,8,Aaron Jones Sr.,RB,MIN
88,8,Jacory Croskey-Merritt,RB,WAS
89,8,RJ Harvey,RB,DEN
90,8,Jayden Reed,WR,GB
91,8,Quentin Johnston,WR,LAC
92,8,Jakobi Meyers,WR,JAC
93,8,Chris Godwin Jr.,WR,TB
94,8,Jordan Addison,WR,MIN
95,8,Zack Baun,IDP,PHI
96,8,Jordyn Brooks,IDP,MIA
97,9,Jaxson Dart,QB,NYG
98,9,Jordan Mason,RB,MIN
99,9,Tyjae Spears,RB,TEN
100,9,Woody Marks,RB,HOU
101,9,Zach Charbonnet,RB,SEA
102,9,Xavier Worthy,WR,KC
103,9,Wan'Dale Robinson,WR,TEN
104,9,De'Zhaun Stribling,WR,SF
105,9,Jake Ferguson,TE,DAL
106,9,Jack Campbell,IDP,DET
107,9,Jamien Sherwood,IDP,NYJ
108,9,Quay Walker,IDP,LV
109,10,Bo Nix,QB,DEN
110,10,Jared Goff,QB,DET
111,10,Justice Hill,RB,BAL
112,10,Alvin Kamara,RB,NO
113,10,Chris Rodriguez Jr.,RB,JAC
114,10,Mike Washington Jr.,RB,LV
115,10,Matthew Golden,WR,GB
116,10,Romeo Doubs,WR,NE
117,10,Stefon Diggs,WR,WAS
118,10,Deebo Samuel Sr.,WR,SF
119,10,Fred Warner,IDP,SF
120,10,Edgerrin Cooper,IDP,GB
121,11,Kyler Murray,QB,MIN
122,11,Keaton Mitchell,RB,LAC
123,11,Dylan Sampson,RB,CLE
124,11,KC Concepcion,WR,CLE
125,11,Makai Lemon,WR,PHI
126,11,Rashid Shaheed,WR,SEA
127,11,Khalil Shakir,WR,BUF
128,11,Hunter Henry,TE,NE
129,11,Blake Cashman,IDP,MIN
130,11,Roquan Smith,IDP,BAL
131,11,Foyesade Oluokun,IDP,JAC
132,11,Robert Spillane,IDP,NE
133,12,Tyler Shough,QB,NO
134,12,Braelon Allen,RB,NYJ
135,12,Kaelon Black,RB,SF
136,12,Josh Downs,WR,IND
137,12,Jalen Coker,WR,CAR
138,12,Juwan Johnson,TE,NO
139,12,Devin Lloyd,IDP,CAR
140,12,T.J. Edwards,IDP,CHI
141,12,Ernest Jones IV,IDP,SEA
142,12,Nakobe Dean,IDP,LV
143,12,Jacob Rodriguez,IDP,MIA
144,12,Devin Bush,IDP,
145,13,Jordan Love,QB,GB
146,13,Tyler Allgeier,RB,ARI
147,13,Brian Robinson Jr.,RB,ATL
148,13,Tank Bigsby,RB,PHI
149,13,Calvin Ridley,WR,TEN
150,13,Denzel Boston,WR,CLE
151,13,Tre Tucker,WR,LV
152,13,Kayshon Boutte,WR,HOU
153,13,Brenton Strange,TE,JAC
154,13,Daiyan Henley,IDP,LAC
155,13,Nick Bolton,IDP,KC
156,13,Nathan Landman,IDP,
157,14,Isiah Pacheco,RB,DET
158,14,Najee Harris,RB,NYG
159,14,Keenan Allen,WR,IND
160,14,Ja'Kobi Lane,WR,BAL
161,14,Dalton Schultz,TE,HOU
162,14,T.J. Hockenson,TE,MIN
163,14,Tremaine Edmunds,IDP,NYG
164,14,Alex Singleton,IDP,DEN
165,14,Terrel Bernard,IDP,BUF
166,14,DeMarvion Overshown,IDP,DAL
167,14,Eric Wilson,IDP,MIN
168,14,Kaden Elliss,IDP,NO
169,15,Jordan James,RB,SF
170,15,Tyrone Tracy Jr.,RB,NYG
171,15,Jalen McMillan,WR,TB
172,15,Jauan Jennings,WR,MIN
173,15,Jalen Nailor,WR,LV
174,15,Pat Freiermuth,TE,PIT
175,15,Terrance Ferguson,TE,LAR
176,15,Demario Davis,IDP,NYJ
177,15,Dre Greenlaw,IDP,SF
178,15,Barrett Carter,IDP,CIN
179,15,Patrick Queen,IDP,PIT
180,15,Jihaad Campbell,IDP,PHI
181,16,Kimani Vidal,RB,LAC
182,16,Jonah Coleman,RB,DEN
183,16,Cooper Kupp,WR,SEA
184,16,Adonai Mitchell,WR,NYJ
185,16,Jordyn Tyson,WR,NO
186,16,Malik Washington,WR,MIA
187,16,Chris Bell,WR,MIA
188,16,Chig Okonkwo,TE,WAS
189,16,Azeez Al-Shaair,IDP,HOU
190,16,Drue Tranquill,IDP,KC
191,16,Divine Deablo,IDP,ATL
192,16,Quincy Williams,IDP,CLE
193,17,Emmett Johnson,RB,KC
194,17,Ray Davis,RB,BUF
195,17,Sean Tucker,RB,TB
196,17,Caleb Douglas,WR,MIA
197,17,Omar Cooper Jr.,WR,NYJ
198,17,Travis Hunter,WR,JAC
199,17,Tre' Harris,WR,LAC
200,17,Malachi Fields,WR,NYG
201,17,Tank Dell,WR,HOU
202,17,Payton Wilson,IDP,PIT
203,17,Zaire Franklin,IDP,GB
204,17,Christian Elliss,IDP,NE
205,18,Kaytron Allen,RB,WAS
206,18,Nicholas Singleton,RB,TEN
207,18,Kaleb Johnson,RB,GB
208,18,Cyrus Allen,WR,KC
