PosRank,OverallRank,Round,Player,Team
1,1,1,Jahmyr Gibbs,DET
2,2,1,Bijan Robinson,ATL
3,3,1,Christian McCaffrey,SF
4,4,1,Jonathan Taylor,IND
5,5,1,Derrick Henry,BAL
6,6,1,De'Von Achane,MIA
7,7,1,James Cook III,BUF
8,14,2,Saquon Barkley,PHI
9,15,2,Kenneth Walker III,KC
10,16,2,Ashton Jeanty,LV
11,17,2,Omarion Hampton,LAC
12,18,2,Jeremiyah Love,ARI
13,28,3,Breece Hall,NYJ
14,29,3,D'Andre Swift,CHI
15,30,3,Quinshon Judkins,CLE
16,31,3,Bucky Irving,TB
17,39,4,Bhayshul Tuten,JAC
18,40,4,David Montgomery,HOU
19,41,4,Jaylen Warren,PIT
20,50,5,Jadarian Price,SEA
21,51,5,TreVeyon Henderson,NE
22,52,5,Tony Pollard,TEN
23,53,5,Rhamondre Stevenson,NE
24,54,5,J.K. Dobbins,DEN
25,62,6,Rico Dowdle,PIT
26,63,6,Chuba Hubbard,CAR
27,64,6,Jonathon Brooks,CAR
28,65,6,MarShawn Lloyd,GB
29,74,7,Kenny Gainwell,TB
30,75,7,Kyle Monangai,CHI
31,76,7,Rachaad White,WAS
32,86,8,Blake Corum,LAR
33,87,8,Aaron Jones Sr.,MIN
34,88,8,Jacory Croskey-Merritt,WAS
35,89,8,RJ Harvey,DEN
36,98,9,Jordan Mason,MIN
37,99,9,Tyjae Spears,TEN
38,100,9,Woody Marks,HOU
39,101,9,Zach Charbonnet,SEA
40,111,10,Justice Hill,BAL
41,112,10,Alvin Kamara,NO
42,113,10,Chris Rodriguez Jr.,JAC
43,114,10,Mike Washington Jr.,LV
44,122,11,Keaton Mitchell,LAC
45,123,11,Dylan Sampson,CLE
46,134,12,Braelon Allen,NYJ
47,135,12,Kaelon Black,SF
48,146,13,Tyler Allgeier,ARI
49,147,13,Brian Robinson Jr.,ATL
50,148,13,Tank Bigsby,PHI
51,157,14,Isiah Pacheco,DET
52,158,14,Najee Harris,NYG
53,169,15,Jordan James,SF
54,170,15,Tyrone Tracy Jr.,NYG
55,181,16,Kimani Vidal,LAC
56,182,16,Jonah Coleman,DEN
57,193,17,Emmett Johnson,KC
58,194,17,Ray Davis,BUF
59,195,17,Sean Tucker,TB
60,205,18,Kaytron Allen,WAS
61,206,18,Nicholas Singleton,TEN
62,207,18,Kaleb Johnson,GB
