PosRank,OverallRank,Round,Player,Team
1,24,2,Colston Loveland,CHI
2,47,4,Harold Fannin Jr.,CLE
3,48,4,George Kittle,SF
4,59,5,Sam LaPorta,DET
5,60,5,Dallas Goedert,PHI
6,72,6,Travis Kelce,KC
7,80,7,Tucker Kraft,GB
8,81,7,Mark Andrews,BAL
9,82,7,Isaiah Likely,NYG
10,105,9,Jake Ferguson,DAL
11,128,11,Hunter Henry,NE
12,138,12,Juwan Johnson,NO
13,153,13,Brenton Strange,JAC
14,161,14,Dalton Schultz,HOU
15,162,14,T.J. Hockenson,MIN
16,174,15,Pat Freiermuth,PIT
17,175,15,Terrance Ferguson,LAR
18,188,16,Chig Okonkwo,WAS
