PosRank,OverallRank,Round,Player,Team
1,8,1,Ja'Marr Chase,CIN
2,9,1,Jaxon Smith-Njigba,SEA
3,10,1,Amon-Ra St. Brown,DET
4,11,1,Drake London,ATL
5,12,1,CeeDee Lamb,DAL
6,19,2,Justin Jefferson,CLE
7,20,2,Rashee Rice,KC
8,21,2,Chris Olave,NO
9,22,2,A.J. Brown,NE
10,23,2,Zay Flowers,BAL
11,32,3,Malik Nabers,NYG
12,33,3,Garrett Wilson,NYJ
13,34,3,Tetairoa McMillan,CAR
14,35,3,DeVonta Smith,PHI
15,36,3,Davante Adams,LAR
16,42,4,Tee Higgins,CIN
17,43,4,Jameson Williams,DET
18,44,4,Ladd McConkey,LAC
19,45,4,Terry McLaurin,WAS
20,46,4,Rome Odunze,CHI
21,55,5,DJ Moore,BUF
22,56,5,Jaylen Waddle,DEN
23,57,5,Luther Burden III,CHI
24,58,5,Christian Watson,GB
25,66,6,Courtland Sutton,DEN
26,67,6,Alec Pierce,IND
27,68,6,Marvin Harrison Jr.,ARI
28,69,6,Mike Evans,SF
29,70,6,Carnell Tate,TEN
30,71,6,DK Metcalf,PIT
31,77,7,Parker Washington,JAC
32,78,7,Brian Thomas Jr.,JAC
33,79,7,Michael Pittman Jr.,PIT
34,90,8,Jayden Reed,GB
35,91,8,Quentin Johnston,LAC
36,92,8,Jakobi Meyers,JAC
37,93,8,Chris Godwin Jr.,TB
38,94,8,Jordan Addison,MIN
39,102,9,Xavier Worthy,KC
40,103,9,Wan'Dale Robinson,TEN
41,104,9,De'Zhaun Stribling,SF
42,115,10,Matthew Golden,GB
43,116,10,Romeo Doubs,NE
44,117,10,Stefon Diggs,WAS
45,118,10,Deebo Samuel Sr.,SF
46,124,11,KC Concepcion,CLE
47,125,11,Makai Lemon,PHI
48,126,11,Rashid Shaheed,SEA
49,127,11,Khalil Shakir,BUF
50,136,12,Josh Downs,IND
51,137,12,Jalen Coker,CAR
52,149,13,Calvin Ridley,TEN
53,150,13,Denzel Boston,CLE
54,151,13,Tre Tucker,LV
55,152,13,Kayshon Boutte,HOU
56,159,14,Keenan Allen,IND
57,160,14,Ja'Kobi Lane,BAL
58,171,15,Jalen McMillan,TB
59,172,15,Jauan Jennings,MIN
60,173,15,Jalen Nailor,LV
61,183,16,Cooper Kupp,SEA
62,184,16,Adonai Mitchell,NYJ
63,185,16,Jordyn Tyson,NO
64,186,16,Malik Washington,MIA
65,187,16,Chris Bell,MIA
66,196,17,Caleb Douglas,MIA
67,197,17,Omar Cooper Jr.,NYJ
68,198,17,Travis Hunter,JAC
69,199,17,Tre' Harris,LAC
70,200,17,Malachi Fields,NYG
71,201,17,Tank Dell,HOU
72,208,18,Cyrus Allen,KC
