Rank,Player,Position,Team,Tag
1,"Jahmyr Gibbs",RB,"DET","Tier 1"
2,"Bijan Robinson",RB,"ATL","Tier 1"
3,"Ja'Marr Chase",WR,"CIN","Tier 1"
4,"Puka Nacua",WR,"LAR","Tier 1"
5,"Christian McCaffrey",RB,"SF","Tier 1"
6,"Jaxon Smith-Njigba",WR,"SEA","Tier 1"
7,"Jonathan Taylor",RB,"IND","Tier 2"
8,"Amon-Ra St. Brown",WR,"DET","Tier 1"
9,"James Cook III",RB,"BUF","Tier 2"
10,"De'Von Achane",RB,"MIA","Tier 2"
11,"CeeDee Lamb",WR,"DAL","Tier 2"
12,"Justin Jefferson",WR,"MIN","Tier 2"
13,"Chase Brown",RB,"CIN","Tier 2"
14,"Saquon Barkley",RB,"PHI","Tier 2"
15,"Omarion Hampton",RB,"LAC","Tier 2"
16,"Derrick Henry",RB,"BAL","Tier 3"
17,"Ashton Jeanty",RB,"LV","Tier 3"
18,"Kenneth Walker III",RB,"KC","Tier 2"
19,"A.J. Brown",WR,"NE","Tier 2"
20,"Drake London",WR,"ATL","Tier 2"
21,"Josh Allen",QB,"BUF","Tier 1"
22,"Brock Bowers",TE,"LV","Tier 1"
23,"George Pickens",WR,"DAL","Tier 3"
24,"Nico Collins",WR,"HOU","Tier 3"
25,"Trey McBride",TE,"ARI","Tier 1"
26,"Chris Olave",WR,"NO","Tier 3"
27,"Malik Nabers",WR,"NYG","Tier 3"
28,"Rashee Rice",WR,"KC","Tier 3"
29,"Kyren Williams",RB,"LAR","Tier 3"
30,"Jeremiyah Love",RB,"ARI","Tier 3"
31,"Javonte Williams",RB,"DAL","Tier 3"
32,"DeVonta Smith",WR,"PHI","Tier 3"
33,"Breece Hall",RB,"NYJ","Tier 3"
34,"Travis Etienne Jr.",RB,"NO","Tier 4"
35,"Zay Flowers",WR,"BAL","Tier 3"
36,"Cam Skattebo",RB,"NYG","Tier 4"
37,"Lamar Jackson",QB,"BAL","Tier 1"
38,"Tetairoa McMillan",WR,"CAR","Tier 4"
39,"Garrett Wilson",WR,"NYJ","Tier 3"
40,"Colston Loveland",TE,"CHI","Tier 1"
41,"Tee Higgins",WR,"CIN","Tier 4"
42,"Emeka Egbuka",WR,"TB","Tier 4"
43,"Ladd McConkey",WR,"LAC","Tier 3"
44,"D'Andre Swift",RB,"CHI","Tier 4"
45,"Quinshon Judkins",RB,"CLE","Tier 4"
46,"Jaylen Waddle",WR,"DEN","Tier 4"
47,"Bucky Irving",RB,"TB","Tier 4"
48,"David Montgomery",RB,"HOU","Tier 4"
49,"DJ Moore",WR,"BUF","Tier 4"
50,"Davante Adams",WR,"LAR","Tier 4"
51,"Tyler Warren",TE,"IND","Tier 1"
52,"Drake Maye",QB,"NE","Tier 1"
53,"Joe Burrow",QB,"CIN","Tier 2"
54,"Luther Burden III",WR,"CHI","Tier 4"
55,"Terry McLaurin",WR,"WAS","Tier 4"
56,"Bhayshul Tuten",RB,"JAC","Tier 4"
57,"Jameson Williams",WR,"DET","Tier 4"
58,"Jadarian Price",RB,"SEA","Tier 4"
59,"Rome Odunze",WR,"CHI","Tier 5"
60,"TreVeyon Henderson",RB,"NE","Tier 4"
61,"Jayden Daniels",QB,"WAS","Tier 2"
62,"Jalen Hurts",QB,"PHI","Tier 2"
63,"Parker Washington",WR,"JAC","Tier 5"
64,"Mike Evans",WR,"SF","Tier 5"
65,"Rhamondre Stevenson",RB,"NE","Tier 5"
66,"Harold Fannin Jr.",TE,"CLE","Tier 2"
67,"Christian Watson",WR,"GB","Tier 5"
68,"Jaylen Warren",RB,"PIT","Tier 5"
69,"Tucker Kraft",TE,"GB","Tier 2"
70,"Kyle Pitts Sr.",TE,"ATL","Tier 2"
71,"Marvin Harrison Jr.",WR,"ARI","Tier 5"
72,"Sam LaPorta",TE,"DET","Tier 2"
73,"Carnell Tate",WR,"TEN","Tier 5"
74,"Dak Prescott",QB,"DAL","Tier 2"
75,"Courtland Sutton",WR,"DEN","Tier 5"
76,"Tony Pollard",RB,"TEN","Tier 5"
77,"Caleb Williams",QB,"CHI","Tier 2"
78,"Rico Dowdle",RB,"PIT","Tier 5"
79,"DK Metcalf",WR,"PIT","Tier 5"
80,"Jonathon Brooks",RB,"CAR","Tier 5"
81,"Brian Thomas Jr.",WR,"JAC","Tier 5"
82,"Justin Herbert",QB,"LAC","Tier 2"
83,"George Kittle",TE,"SF","Tier 3"
84,"RJ Harvey",RB,"DEN","Tier 5"
85,"Carson Schwesinger",LB,"CLE","IDP LB"
86,"Michael Wilson",WR,"ARI","Tier 5"
87,"Trevor Lawrence",QB,"JAC","Tier 2"
88,"Chris Godwin Jr.",WR,"TB","Tier 5"
89,"Cedric Gray",LB,"TEN","IDP LB"
90,"J.K. Dobbins",RB,"DEN","Tier 5"
91,"Chuba Hubbard",RB,"CAR","Tier 5"
92,"Alec Pierce",WR,"IND","Tier 6"
93,"Zack Baun",LB,"PHI","IDP LB"
94,"Matthew Stafford",QB,"LAR","Tier 3"
95,"Travis Kelce",TE,"KC","Tier 3"
96,"Jaxson Dart",QB,"NYG","Tier 3"
97,"Jordyn Brooks",LB,"MIA","IDP LB"
98,"Michael Pittman Jr.",WR,"PIT","Tier 5"
99,"Kenny Gainwell",RB,"TB","Tier 5"
100,"Jack Campbell",LB,"DET","IDP LB"
101,"Stefon Diggs",WR,"WAS","Tier 6"
