Rank,Player,Position,Team,Tag
1,Jahmyr Gibbs,RB,DET,Round 1
2,Bijan Robinson,RB,ATL,Round 1
3,Christian McCaffrey,RB,SF,Round 1
4,Jonathan Taylor,RB,IND,Round 1
5,Puka Nacua,WR,LAR,Locked Keeper - I LIKE BIG TDS Rd 6
6,Ja'Marr Chase,WR,CIN,Round 1
7,Jaxon Smith-Njigba,WR,SEA,Locked Keeper - Fat Lazy Americans Rd 4
8,Derrick Henry,RB,BAL,Round 1
9,Amon-Ra St. Brown,WR,DET,Round 1
10,De'Von Achane,RB,MIA,Locked Keeper - Dumpster Fire Rd 6
11,James Cook III,RB,BUF,Round 1
12,Chase Brown,RB,CIN,Locked Keeper - MombaMentality Rd 4
13,Saquon Barkley,RB,PHI,Round 2
14,Josh Allen,QB,BUF,Round 2
15,Kenneth Walker III,RB,KC,Round 2
16,Trey McBride,TE,ARI,Round 2
17,Ashton Jeanty,RB,LV,Round 2
18,Drake London,WR,ATL,Round 2
19,Brock Bowers,TE,LV,Locked Keeper - Postino's Banditos Rd 4
20,Omarion Hampton,RB,LAC,Round 2
21,CeeDee Lamb,WR,DAL,Round 2
22,Jordyn Brooks,IDP,MIA,Round 2
23,Jeremiyah Love,RB,ARI,Round 2
24,Javonte Williams,RB,DAL,Locked Keeper - Berserker Rd 7
25,Justin Jefferson,WR,MIN,Round 3
26,Breece Hall,RB,NYJ,Round 3
27,Rashee Rice,WR,KC,Locked Keeper - Berserker Rd 9
28,Blake Cashman,IDP,MIN,Round 3
29,Kyren Williams,RB,LAR,Locked Keeper - Oroszlanok Rd 6
30,Chris Olave,WR,NO,Round 3
31,A.J. Brown,WR,NE,Round 3
32,Travis Etienne Jr.,RB,NO,Locked Keeper - Kona’s Kickers Rd 5
33,Cam Skattebo,RB,NYG,Locked Keeper - Dumpster Fire Rd 8
34,George Pickens,WR,DAL,Round 3
35,Nico Collins,WR,HOU,Round 3
36,Jack Campbell,IDP,DET,Round 3
37,T.J. Edwards,IDP,CHI,Round 4
38,Colston Loveland,TE,CHI,Locked Keeper - Wailin Raylans Rd 10
39,D'Andre Swift,RB,CHI,Round 4
40,Nick Bolton,IDP,KC,Round 4
41,Zay Flowers,WR,BAL,Locked Keeper - Kona’s Kickers Rd 4
42,Malik Nabers,WR,NYG,Round 4
43,Carson Schwesinger,IDP,CLE,Round 4
44,Fred Warner,IDP,SF,Round 4
45,Quinshon Judkins,RB,CLE,Locked Keeper - Oroszlanok Rd 9
46,Bucky Irving,RB,TB,Round 4
47,Mack Wilson Sr.,IDP,ARI,Round 4
48,Garrett Wilson,WR,NYJ,Round 4
49,Foyesade Oluokun,IDP,JAC,Round 5
50,Tetairoa McMillan,WR,CAR,Round 5
51,DeVonta Smith,WR,PHI,Locked Keeper - Postino's Banditos Rd 3
52,Bhayshul Tuten,RB,JAC,Round 5
53,Cedric Gray,IDP,TEN,Round 5
54,Lamar Jackson,QB,BAL,Round 5
55,Emeka Egbuka,WR,TB,Round 5
56,Tyler Warren,TE,IND,Round 5
57,Ernest Jones IV,IDP,SEA,Round 5
58,Quay Walker,IDP,LV,Round 5
59,Harold Fannin Jr.,TE,CLE,Round 5
60,Davante Adams,WR,LAR,Round 5
61,Alex Singleton,IDP,DEN,Round 6
62,Tee Higgins,WR,CIN,Round 6
63,Jamien Sherwood,IDP,NYJ,Round 6
64,Roquan Smith,IDP,BAL,Round 6
65,Drake Maye,QB,NE,Round 6
66,Joe Burrow,QB,CIN,Locked Keeper - Fat Lazy Americans Rd 10
67,Jameson Williams,WR,DET,Round 6
68,Tremaine Edmunds,IDP,NYG,Round 6
69,George Kittle,TE,SF,Round 6
70,Nakobe Dean,IDP,LV,Round 6
71,Nate Landman,IDP,LAR,Round 6
72,Jalen Hurts,QB,PHI,Round 6
73,David Montgomery,RB,HOU,Round 7
74,Kyle Pitts Sr.,TE,ATL,Round 7
75,Sam LaPorta,TE,DET,Round 7
76,Zack Baun,IDP,PHI,Round 7
77,Jayden Daniels,QB,WAS,Round 7
78,Ladd McConkey,WR,LAC,Locked Keeper - Billy Goat Tavern Rd 4
79,Dallas Goedert,TE,PHI,Round 7
80,Bobby Okereke,IDP,CAR,Round 7
81,Robert Spillane,IDP,NE,Round 7
82,Travis Kelce,TE,KC,Round 7
83,Dak Prescott,QB,DAL,Round 7
84,Demario Davis,IDP,NYJ,Round 7
85,Dre Greenlaw,IDP,SF,Round 8
86,Tucker Kraft,TE,GB,Round 8
87,Daiyan Henley,IDP,LAC,Round 8
88,Terry McLaurin,WR,WAS,Round 8
89,Barrett Carter,IDP,CIN,Round 8
90,Edgerrin Cooper,IDP,GB,Round 8
91,Patrick Queen,IDP,PIT,Round 8
92,Rome Odunze,WR,CHI,Round 8
93,DJ Moore,WR,BUF,Round 8
94,Azeez Al-Shaair,IDP,HOU,Round 8
95,Matthew Stafford,QB,LAR,Locked Keeper - Billy Goat Tavern Rd 10
96,Jaylen Waddle,WR,DEN,Round 8
97,Jaylen Warren,RB,PIT,Round 9
98,Jadarian Price,RB,SEA,Round 9
99,TreVeyon Henderson,RB,NE,Round 9
100,Luther Burden III,WR,CHI,Round 9
101,Sonny Styles,IDP,WAS,Round 9
102,Tony Pollard,RB,TEN,Round 9
103,Jaquan Brisker,IDP,PIT,Round 9
104,Rhamondre Stevenson,RB,NE,Round 9
105,Mark Andrews,TE,BAL,Round 9
106,Kaden Elliss,IDP,NO,Round 9
107,Devin Bush Jr.,IDP,CHI,Round 9
108,Nick Scott,IDP,CAR,Round 9
109,Christian Watson,WR,GB,Round 10
110,DeMarvion Overshown,IDP,DAL,Round 10
111,Trevor Lawrence,QB,JAC,Round 10
112,Caleb Williams,QB,CHI,Round 10
113,Brock Purdy,QB,SF,Round 10
114,Budda Baker,IDP,ARI,Round 10
115,Isaiah Likely,TE,NYG,Round 10
116,Patrick Mahomes II,QB,KC,Round 10
117,Courtland Sutton,WR,DEN,Round 10
118,Kyle Hamilton,IDP,BAL,Round 10
119,J.K. Dobbins,RB,DEN,Round 10
120,Alec Pierce,WR,IND,Round 10
121,Devin Lloyd,IDP,CAR,Round 11
122,Marvin Harrison Jr.,WR,ARI,Round 11
123,Jaxson Dart,QB,NYG,Round 11
124,Rico Dowdle,RB,PIT,Round 11
125,Mike Evans,WR,SF,Round 11
126,Frankie Luvu,IDP,WAS,Round 11
127,Kam Curl,IDP,LAR,Round 11
128,Dalton Kincaid,TE,BUF,Round 11
129,DK Metcalf,WR,PIT,Round 11
130,Tykee Smith,IDP,TB,Round 11
131,Christian Elliss,IDP,NE,Round 11
132,Alohi Gilman,IDP,KC,Round 11
133,Jake Ferguson,TE,DAL,Round 12
134,Jared Goff,QB,DET,Round 12
135,Jacob Rodriguez,IDP,MIA,Round 12
136,Zaire Franklin,IDP,GB,Round 12
137,Bo Nix,QB,DEN,Round 12
138,DaRon Bland,IDP,DAL,Round 12
139,Justin Herbert,QB,LAC,Round 12
140,Demetrius Knight Jr.,IDP,CIN,Round 12
141,Nick Cross,IDP,WAS,Round 12
142,Trent McDuffie,IDP,LAR,Round 12
143,Quincy Williams,IDP,CLE,Round 12
144,Terrel Bernard,IDP,BUF,Round 12
145,Hunter Henry,TE,NE,Round 13
146,Dante Trader Jr.,IDP,MIA,Round 13
147,Jeremy Chinn,IDP,LV,Round 13
148,Christian Gonzalez,IDP,NE,Round 13
149,Divine Deablo,IDP,ATL,Round 13
150,Derwin James Jr.,IDP,LAC,Round 13
151,Xavier McKinney,IDP,GB,Round 13
152,Cody Barton,IDP,TEN,Round 13
153,Eric Wilson,IDP,MIN,Round 13
154,Chuba Hubbard,RB,CAR,Round 13
155,Juwan Johnson,TE,NO,Round 13
156,Cam Lewis,IDP,CHI,Round 13
157,Nick Emmanwori,IDP,SEA,Round 14
158,Brenton Strange,TE,JAC,Round 14
159,Talanoa Hufanga,IDP,DEN,Round 14
160,Antoine Winfield Jr.,IDP,TB,Round 14
161,Drue Tranquill,IDP,KC,Round 14
162,Parker Washington,WR,JAC,Round 14
