OverallRank,Round,Player,Position,Team,TheLeagueProjPoints,VORP,GenericHalfPPRPoints,KeeperStatus
1,1,Jahmyr Gibbs,RB,DET,342.8,177.7,342.8,
2,1,Bijan Robinson,RB,ATL,318.2,153.1,318.1,
3,1,Christian McCaffrey,RB,SF,295.5,130.4,295.5,
4,1,Jonathan Taylor,RB,IND,289.9,124.8,289.9,
5,1,Puka Nacua,WR,LAR,281,117.9,281,LOCKED I LIKE BIG TDS Rd 6
6,1,Ja'Marr Chase,WR,CIN,275.2,112.1,275.2,
7,1,Jaxon Smith-Njigba,WR,SEA,270.5,107.4,270.5,LOCKED Fat Lazy Americans Rd 4
8,1,Derrick Henry,RB,BAL,265.8,100.7,265.8,
9,1,Amon-Ra St. Brown,WR,DET,261.2,98.1,261.3,
10,1,De'Von Achane,RB,MIA,260,94.9,260,LOCKED Dumpster Fire Rd 6
11,1,James Cook III,RB,BUF,254.1,89,254.1,
12,1,Chase Brown,RB,CIN,246.7,81.6,246.7,LOCKED MombaMentality Rd 4
13,2,Saquon Barkley,RB,PHI,243.8,78.7,243.9,
14,2,Josh Allen,QB,BUF,414.3,71.3,370.5,
15,2,Kenneth Walker III,RB,KC,236.4,71.3,236.3,
16,2,Trey McBride,TE,ARI,201.5,70.1,201.5,
17,2,Ashton Jeanty,RB,LV,231.8,66.7,231.9,
18,2,Drake London,WR,ATL,227.1,64,227.1,
19,2,Brock Bowers,TE,LV,195.3,63.9,195.4,LOCKED Postino's Banditos Rd 4
20,2,Omarion Hampton,RB,LAC,228.9,63.8,228.9,
21,2,CeeDee Lamb,WR,DAL,224,60.9,224,
22,2,Jordyn Brooks,LB,MIA,193.5,60.6,290.2,
23,2,Jeremiyah Love,RB,ARI,224.4,59.3,224.3,
24,2,Javonte Williams,RB,DAL,223.8,58.7,223.8,LOCKED Berserker Rd 7
25,3,Justin Jefferson,WR,MIN,221.4,58.3,221.4,
26,3,Breece Hall,RB,NYJ,222.3,57.2,222.3,
27,3,Rashee Rice,WR,KC,219.2,56.1,219.2,LOCKED Berserker Rd 9
28,3,Blake Cashman,LB,MIN,186.6,53.7,279.9,
29,3,Kyren Williams,RB,LAR,218.6,53.5,218.6,LOCKED Oroszlanok Rd 6
30,3,Chris Olave,WR,NO,216,52.9,216.1,
31,3,A.J. Brown,WR,NE,212.7,49.6,212.7,
32,3,Travis Etienne Jr.,RB,NO,214.2,49.1,214.2,LOCKED Kona’s Kickers Rd 5
33,3,Cam Skattebo,RB,NYG,212.6,47.5,212.6,LOCKED Dumpster Fire Rd 8
34,3,George Pickens,WR,DAL,210.6,47.5,210.6,
35,3,Nico Collins,WR,HOU,209.1,46,209.1,
36,3,Jack Campbell,LB,DET,178.2,45.3,269.2,
37,4,T.J. Edwards,LB,CHI,178.2,45.3,267.2,
38,4,Colston Loveland,TE,CHI,172.1,40.7,172.1,LOCKED Wailin Raylans Rd 10
39,4,D'Andre Swift,RB,CHI,205.5,40.4,205.5,
40,4,Nick Bolton,LB,KC,172,39.1,258.7,
41,4,Zay Flowers,WR,BAL,201,37.9,201.1,LOCKED Kona’s Kickers Rd 4
42,4,Malik Nabers,WR,NYG,199.8,36.7,199.8,
43,4,Carson Schwesinger,LB,CLE,169.6,36.7,254.1,
44,4,Fred Warner,LB,SF,168.9,36,257.4,
45,4,Quinshon Judkins,RB,CLE,199.8,34.7,199.8,LOCKED Oroszlanok Rd 9
46,4,Bucky Irving,RB,TB,199.7,34.6,199.8,
47,4,Mack Wilson Sr.,LB,ARI,166.8,33.9,252.7,
48,4,Garrett Wilson,WR,NYJ,194.8,31.7,194.8,
49,5,Foyesade Oluokun,LB,JAC,163.8,30.9,247.2,
