Rank,Player,Type,Team,Tag
1,"Jahmyr Gibbs",OFF,"",""
2,"Bijan Robinson",OFF,"",""
3,"Ja'Marr Chase",OFF,"",""
4,"Puka Nacua",OFF,"",""
5,"Jaxon Smith-Njigba",OFF,"",""
6,"Amon-Ra St. Brown",OFF,"",""
7,"Jonathan Taylor",OFF,"",""
8,"Christian McCaffrey",OFF,"",""
9,"CeeDee Lamb",OFF,"",""
10,"James Cook III",OFF,"",""
11,"Justin Jefferson",OFF,"",""
12,"Drake London",OFF,"",""
13,"Chase Brown",OFF,"",""
14,"A.J. Brown",OFF,"",""
15,"Saquon Barkley",OFF,"",""
16,"De'Von Achane",OFF,"",""
17,"Brock Bowers",OFF,"",""
18,"Nico Collins",OFF,"",""
19,"Omarion Hampton",OFF,"",""
20,"Derrick Henry",OFF,"",""
21,"Kenneth Walker III",OFF,"",""
22,"George Pickens",OFF,"",""
23,"Chris Olave",OFF,"",""
24,"Ashton Jeanty",OFF,"",""
25,"Trey McBride",OFF,"",""
26,"Malik Nabers",OFF,"",""
27,"Rashee Rice",OFF,"",""
28,"DeVonta Smith",OFF,"",""
29,"Zay Flowers",OFF,"",""
30,"Kyren Williams",OFF,"",""
31,"Tee Higgins",OFF,"",""
32,"Josh Allen",OFF,"",""
33,"Javonte Williams",OFF,"",""
34,"Tetairoa McMillan",OFF,"",""
35,"Breece Hall",OFF,"",""
36,"Josh Jacobs",OFF,"",""
37,"Garrett Wilson",OFF,"",""
38,"Ladd McConkey",OFF,"",""
39,"Jaylen Waddle",OFF,"",""
40,"Colston Loveland",OFF,"",""
41,"Emeka Egbuka",OFF,"",""
42,"Jeremiyah Love",OFF,"",""
43,"Lamar Jackson",OFF,"",""
44,"Travis Etienne Jr.",OFF,"",""
45,"Terry McLaurin",OFF,"",""
46,"Davante Adams",OFF,"",""
47,"D'Andre Swift",OFF,"",""
48,"Cam Skattebo",OFF,"",""
49,"Luther Burden III",OFF,"",""
50,"Drake Maye",OFF,"",""
51,"Bucky Irving",OFF,"",""
52,"Jameson Williams",OFF,"",""
53,"Quinshon Judkins",OFF,"",""
54,"Tyler Warren",OFF,"",""
55,"DJ Moore",OFF,"",""
56,"David Montgomery",OFF,"",""
57,"Christian Watson",OFF,"",""
58,"Mike Evans",OFF,"",""
59,"Rome Odunze",OFF,"",""
60,"Joe Burrow",OFF,"",""
61,"Bhayshul Tuten",OFF,"",""
62,"TreVeyon Henderson",OFF,"",""
63,"Jayden Daniels",OFF,"",""
64,"Jadarian Price",OFF,"",""
65,"Jalen Hurts",OFF,"",""
66,"Parker Washington",OFF,"",""
67,"Tucker Kraft",OFF,"",""
68,"Marvin Harrison Jr.",OFF,"",""
69,"Carnell Tate",OFF,"",""
70,"Jaylen Warren",OFF,"",""
71,"Rhamondre Stevenson",OFF,"",""
72,"Caleb Williams",OFF,"",""
73,"Brian Thomas Jr.",OFF,"",""
74,"Tony Pollard",OFF,"",""
75,"DK Metcalf",OFF,"",""
76,"Harold Fannin Jr.",OFF,"",""
77,"Justin Herbert",OFF,"",""
78,"Sam LaPorta",OFF,"",""
79,"Chris Godwin Jr.",OFF,"",""
80,"Rico Dowdle",OFF,"",""
81,"Kyle Pitts Sr.",OFF,"",""
82,"Courtland Sutton",OFF,"",""
83,"Trevor Lawrence",OFF,"",""
84,"Dak Prescott",OFF,"",""
85,"J.K. Dobbins",OFF,"",""
86,"Jordyn Brooks",LB,"MIA","🟢 Green Dot / LB1"
87,"Michael Pittman Jr.",OFF,"",""
88,"Michael Wilson",OFF,"",""
89,"Quentin Johnston",OFF,"",""
90,"Chuba Hubbard",OFF,"",""
91,"Jack Campbell",LB,"DET","🟢 Green Dot / LB2"
92,"Blake Corum",OFF,"",""
93,"Alec Pierce",OFF,"",""
94,"Josh Downs",OFF,"",""
95,"George Kittle",OFF,"",""
96,"Carson Schwesinger",LB,"CLE","🟢 Green Dot / LB3"
97,"RJ Harvey",OFF,"",""
98,"Jacory Croskey-Merritt",OFF,"",""
99,"Wan'Dale Robinson",OFF,"",""
100,"Stefon Diggs",OFF,"",""
101,"Roquan Smith",LB,"BAL","🟢 Green Dot / LB4"
102,"Brock Purdy",OFF,"",""
103,"Travis Kelce",OFF,"",""
104,"Jordan Addison",OFF,"",""
105,"Jaxson Dart",OFF,"",""
106,"Blake Cashman",LB,"MIN","🟢 Green Dot / LB5"
107,"Jordan Mason",OFF,"",""
108,"Jayden Reed",OFF,"",""
109,"Kenny Gainwell",OFF,"",""
110,"Kyle Monangai",OFF,"",""
111,"Ernest Jones IV",LB,"SEA","🟢 Green Dot / LB6"
112,"Patrick Mahomes",OFF,"",""
113,"Jakobi Meyers",OFF,"",""
114,"Bo Nix",OFF,"",""
115,"Rachaad White",OFF,"",""
116,"Foyesade Oluokun",LB,"JAC","🟢 Green Dot / LB7"
117,"Dalton Kincaid",OFF,"",""
118,"Makai Lemon",OFF,"",""
119,"Matthew Stafford",OFF,"",""
120,"Aaron Jones Sr.",OFF,"",""
121,"Fred Warner",LB,"SF","🟢 Green Dot / LB8"
122,"Jared Goff",OFF,"",""
123,"Dallas Goedert",OFF,"",""
124,"Isaiah Likely",OFF,"",""
125,"KC Concepcion",OFF,"",""
126,"Jamien Sherwood",LB,"NYJ","3-Down WLB / LB9"
127,"Mark Andrews",OFF,"",""
128,"Xavier Worthy",OFF,"",""
129,"Chris Rodriguez Jr.",OFF,"",""
130,"Kyler Murray",OFF,"",""
131,"Zack Baun",LB,"PHI","🟢 Green Dot / LB10"
132,"Baker Mayfield",OFF,"",""
133,"Nick Emmanwori",OFF,"",""
134,"Aidan Hutchinson",OFF,"",""
135,"Matthew Golden",OFF,"",""
136,"Cedric Gray",LB,"TEN","🟢 Green Dot / LB11"
137,"Jalen Coker",OFF,"",""
138,"Khalil Shakir",OFF,"",""
139,"Jake Ferguson",OFF,"",""
140,"Tyler Allgeier",OFF,"",""
141,"Nate Landman",LB,"LAR","🟢 Green Dot / LB12"
142,"Woody Marks",OFF,"",""
143,"Jordan Love",OFF,"",""
144,"Jordyn Tyson",OFF,"",""
145,"Tyler Shough",OFF,"",""
