rank,player,pos,team_2025,games_2025,ppg_hb_scoring,proj_17gm_hb_scoring,solo_tkl,ast_tkl,sacks,ints,ff,fr,pass_def
1,Jack Campbell,LB,DET,17,13.51,229.8,87,87,5.0,0,3,2,4
2,Jordyn Brooks,LB,MIA,17,13.32,226.5,96,84,3.5,0,1,1,3
3,Cedric Gray,LB,TEN,16,12.58,213.8,94,67,1.0,0,0,1,4
4,Blake Cashman,LB,MIN,13,12.56,213.5,60,83,2.0,0,1,0,2
5,Devin White,LB,LV,17,12.46,211.8,90,79,2.5,1,1,0,3
6,Tremaine Edmunds,MLB,CHI,13,11.9,202.4,57,51,1.0,4,0,1,9
7,Bobby Wagner,MLB,WAS,17,11.78,200.2,75,83,4.5,2,0,0,4
8,Ernest Jones,LB,SEA,15,11.4,193.8,58,66,0.5,5,0,0,7
9,Tyrel Dodson,LB,MIA,16,10.98,186.7,70,57,5.0,1,1,1,3
10,Devin Bush,LB,CLE,17,10.88,185.0,61,62,2.0,3,2,1,8
11,Foye Oluokun,LB,JAX,17,10.85,184.5,68,74,1.0,1,2,1,11
12,Carson Schwesinger,LB,CLE,16,10.77,183.0,58,89,2.5,2,0,0,3
13,Bobby Okereke,ILB,NYG,17,10.66,181.2,75,65,1.0,2,0,1,6
14,Zack Baun,LB,PHI,16,10.64,180.9,63,59,3.5,2,1,1,7
15,Nick Bolton,LB,KC,17,10.6,180.2,69,81,1.0,1,1,0,6
16,Nate Landman,LB,LA,17,10.56,179.5,62,68,2.5,1,4,2,6
17,Roquan Smith,ILB,BAL,15,10.5,178.5,74,54,0.0,0,0,1,3
18,Jamien Sherwood,LB,NYJ,17,10.49,178.2,68,83,2.0,0,0,0,8
19,Quay Walker,LB,GB,14,10.43,177.3,54,70,2.5,0,0,0,5
20,Germaine Pratt,LB,IND,16,10.3,175.0,65,59,0.0,1,1,2,10
21,Mack Wilson,LB,ARI,8,9.88,167.9,31,26,0.0,1,1,0,6
22,Christian Rozeboom,LB,CAR,15,9.82,166.9,56,63,2.0,1,1,0,3
23,Kam Curl,SAF,LA,17,9.81,166.8,75,43,2.0,2,1,0,5
24,Jordan Battle,SAF,CIN,17,9.72,165.2,60,63,0.0,4,2,0,6
25,Robert Spillane,LB,NE,13,9.71,165.1,47,49,1.0,2,1,0,5
26,Jeremy Chinn,SAF,LV,15,9.68,164.6,64,51,1.0,0,2,0,2
27,Demario Davis,OLB,NO,17,9.66,164.2,61,79,0.5,0,2,1,3
28,Payton Wilson,LB,PIT,17,9.66,164.2,74,51,2.0,1,0,1,2
29,Nick Cross,SAF,IND,17,9.44,160.5,70,48,2.5,1,1,0,5
30,Quentin Lake,SAF,LA,10,9.35,158.9,35,24,1.0,1,1,1,10
31,Dane Belton,SAF,NYG,17,9.35,159.0,60,60,2.0,1,3,0,5
32,Chamarri Conner,DB,KC,17,9.35,159.0,73,42,2.0,1,2,0,2
33,Geno Stone,SAF,CIN,16,9.33,158.6,64,39,2.0,2,0,0,4
34,Brian Branch,SAF,DET,12,9.31,158.3,46,27,2.5,0,1,1,9
35,Alex Singleton,LB,DEN,16,9.3,158.0,52,81,1.0,0,1,0,4
36,Lavonte David,OLB,TB,17,9.28,157.8,59,53,3.5,1,2,2,3
37,Tykee Smith,SAF,TB,16,9.27,157.5,60,39,2.0,1,0,2,13
38,Eric Wilson,LB,MIN,17,9.22,156.8,56,55,6.5,0,4,0,0
39,Edgerrin Cooper,LB,GB,16,9.2,156.5,61,55,0.5,0,2,1,4
40,Nakobe Dean,LB,PHI,9,9.19,156.3,30,25,4.0,0,2,0,1
41,T.J. Edwards,LB,CHI,10,9.15,155.6,33,34,0.5,1,0,0,5
42,Derwin James,FS,LAC,15,8.97,152.4,49,44,2.0,3,1,0,7
43,Cooper DeJean,CB,PHI,16,8.95,152.2,63,29,0.0,2,1,0,16
44,Paulson Adebo,CB,NYG,12,8.94,151.9,55,17,0.0,1,0,0,8
45,Myles Garrett,DE,CLE,17,8.93,151.8,40,17,23.0,0,3,0,1
46,Minkah Fitzpatrick,FS,MIA,14,8.91,151.5,57,23,1.0,1,1,2,6
47,Zaire Franklin,OLB,IND,17,8.9,151.2,60,63,2.0,0,1,0,5
48,Budda Baker,S,ARI,16,8.86,150.6,54,63,0.5,1,0,1,5
49,Xavier McKinney,SAF,GB,16,8.86,150.6,52,53,1.0,2,1,0,10
50,Nick Emmanwori,SAF,SEA,14,8.84,150.3,55,25,2.5,1,0,0,11
51,Talanoa Hufanga,SAF,DEN,17,8.81,149.8,67,39,2.0,0,1,0,11
52,Kyle Hamilton,SAF,BAL,16,8.81,149.8,59,46,1.0,0,2,0,9
53,Devon Witherspoon,CB,SEA,12,8.79,149.5,48,24,0.5,1,0,1,7
54,Akeem Davis-Gaither,LB,ARI,16,8.77,149.0,50,67,0.0,1,1,1,5
55,Kamari Lassiter,CB,HOU,16,8.77,149.0,57,29,0.0,4,0,0,17
56,Brian Burns,LB,NYG,17,8.71,148.0,39,28,16.5,0,3,1,7
57,Marlon Humphrey,CB,BAL,15,8.68,147.6,52,15,1.0,4,2,1,13
58,Maxx Crosby,DE,LV,15,8.67,147.3,42,28,10.0,1,2,0,6
59,Xavier Watts,SAF,ATL,17,8.66,147.2,57,37,0.0,5,0,1,11
60,Kevin Byard,FS,CHI,17,8.65,147.0,58,32,0.0,7,0,0,8
