rank,player,team_2025,games_2025,ppg_hb_scoring,proj_17gm_hb_scoring,pass_yds,pass_td,ints,rush_yds,rush_td
1,Josh Allen,BUF,16,26.54,451.2,3668,25,10,579,14
2,Matthew Stafford,LA,17,26.49,450.4,4707,46,8,1,0
3,Brock Purdy,SF,9,25.26,429.5,2167,20,10,147,3
4,Drake Maye,NE,17,24.75,420.8,4394,31,8,450,4
5,Patrick Mahomes,KC,14,24.33,413.7,3587,22,11,422,5
6,Trevor Lawrence,JAX,17,24.01,408.2,4007,29,12,359,9
7,Dak Prescott,DAL,17,22.58,383.8,4552,30,10,177,2
8,Jalen Hurts,PHI,16,22.32,379.4,3224,25,6,421,8
9,Justin Herbert,LAC,16,21.99,373.9,3727,26,13,498,2
10,Jared Goff,DET,17,21.94,373.1,4564,34,8,45,0
11,Caleb Williams,CHI,17,21.7,369.0,3942,27,7,383,3
12,Joe Burrow,CIN,8,21.68,368.6,1809,17,5,41,0
13,Bo Nix,DEN,17,21.52,365.8,3931,25,11,356,5
14,Daniel Jones,IND,13,20.96,356.3,3101,19,8,164,5
15,Lamar Jackson,BAL,13,20.3,345.0,2549,21,7,349,2
16,Jacoby Brissett,ARI,14,20.1,341.7,3366,23,8,168,1
17,Jaxson Dart,NYG,14,19.76,335.8,2272,15,5,487,9
18,Baker Mayfield,TB,17,19.7,334.9,3693,26,11,382,1
19,Jordan Love,GB,15,19.14,325.4,3381,23,6,199,0
20,C.J. Stroud,HOU,14,18.18,309.1,3041,19,8,209,1
21,Aaron Rodgers,PIT,16,17.62,299.6,3322,24,7,61,1
22,Sam Darnold,SEA,17,17.61,299.4,4048,25,14,95,0
23,Justin Fields,NYJ,9,17.52,297.8,1259,7,1,383,4
24,Bryce Young,CAR,16,17.19,292.2,3011,23,11,216,2
25,Tyler Shough,NO,11,16.72,284.3,2384,10,6,186,3
26,J.J. McCarthy,MIN,10,15.94,270.9,1632,11,12,181,4
27,Michael Penix Jr.,ATL,9,15.7,266.9,1982,9,3,70,1
28,Tua Tagovailoa,MIA,14,15.41,261.9,2660,20,15,43,0
29,Geno Smith,LV,15,15.26,259.4,3025,19,17,109,0
30,Marcus Mariota,WAS,10,15.25,259.2,1695,10,7,297,1
31,Mac Jones,SF,11,14.73,250.4,2151,13,6,60,0
32,Joe Flacco,CIN,13,14.36,244.1,2479,15,10,35,1
