Rank,Player,Type,Team,Notes
1,"Jahmyr Gibbs",OFF,"",""
2,"Bijan Robinson",OFF,"",""
3,"Jonathan Taylor",OFF,"",""
4,"Saquon Barkley",OFF,"",""
5,"Christian McCaffrey",OFF,"",""
6,"Ja'Marr Chase",OFF,"",""
7,"Derrick Henry",OFF,"",""
8,"Puka Nacua",OFF,"",""
9,"Jaxon Smith-Njigba",OFF,"",""
10,"CeeDee Lamb",OFF,"",""
11,"Amon-Ra St. Brown",OFF,"",""
12,"James Cook III",OFF,"",""
13,"Justin Jefferson",OFF,"",""
14,"Kenneth Walker III",OFF,"",""
15,"Ashton Jeanty",OFF,"",""
16,"Chase Brown",OFF,"",""
17,"Nico Collins",OFF,"",""
18,"De'Von Achane",OFF,"",""
19,"Omarion Hampton",OFF,"",""
20,"A.J. Brown",OFF,"",""
21,"Drake London",OFF,"",""
22,"Brock Bowers",OFF,"",""
23,"Kyren Williams",OFF,"",""
24,"George Pickens",OFF,"",""
25,"Javonte Williams",OFF,"",""
26,"Chris Olave",OFF,"",""
27,"David Montgomery",OFF,"",""
28,"Breece Hall",OFF,"",""
29,"Trey McBride",OFF,"",""
30,"Malik Nabers",OFF,"",""
31,"Josh Allen",OFF,"",""
32,"Tetairoa McMillan",OFF,"",""
33,"Lamar Jackson",OFF,"",""
34,"Jeremiyah Love",OFF,"",""
35,"Tee Higgins",OFF,"",""
36,"Jalen Hurts",OFF,"",""
37,"Travis Etienne Jr.",OFF,"",""
38,"Cam Skattebo",OFF,"",""
39,"Colston Loveland",OFF,"",""
40,"MarShawn Lloyd",OFF,"",""
41,"D'Andre Swift",OFF,"",""
42,"Garrett Wilson",OFF,"",""
43,"Jayden Daniels",OFF,"",""
44,"Ladd McConkey",OFF,"",""
45,"Jaylen Waddle",OFF,"",""
46,"Terry McLaurin",OFF,"",""
47,"Davante Adams",OFF,"",""
48,"Bucky Irving",OFF,"",""
49,"Quinshon Judkins",OFF,"",""
50,"DK Metcalf",OFF,"",""
51,"Christian Watson",OFF,"",""
52,"Brian Thomas Jr.",OFF,"",""
53,"Tyler Warren",OFF,"",""
54,"Tony Pollard",OFF,"",""
55,"Emeka Egbuka",OFF,"",""
56,"Drake Maye",OFF,"",""
57,"Jameson Williams",OFF,"",""
58,"DJ Moore",OFF,"",""
59,"Rome Odunze",OFF,"",""
60,"Joe Burrow",OFF,"",""
61,"TreVeyon Henderson",OFF,"",""
62,"Jadarian Price",OFF,"",""
63,"Bhayshul Tuten",OFF,"",""
64,"Rhamondre Stevenson",OFF,"",""
65,"Caleb Williams",OFF,"",""
66,"Blake Corum",OFF,"",""
67,"Mike Evans",OFF,"",""
68,"Rico Dowdle",OFF,"",""
69,"J.K. Dobbins",OFF,"",""
70,"Chuba Hubbard",OFF,"",""
71,"Emanuel Wilson",OFF,"",""
72,"Dylan Sampson",OFF,"",""
73,"Jordan Mason",OFF,"",""
74,"Kyle Pitts Sr.",OFF,"",""
75,"George Kittle",OFF,"",""
76,"Courtland Sutton",OFF,"",""
77,"Sam LaPorta",OFF,"",""
78,"Chris Godwin Jr.",OFF,"",""
79,"Trevor Lawrence",OFF,"",""
80,"Dak Prescott",OFF,"",""
81,"Justin Herbert",OFF,"",""
82,"Michael Pittman Jr.",OFF,"",""
83,"Quentin Johnston",OFF,"",""
84,"Alec Pierce",OFF,"",""
85,"RJ Harvey",OFF,"",""
86,"Jacory Croskey-Merritt",OFF,"",""
87,"Stefon Diggs",OFF,"",""
88,"Brock Purdy",OFF,"",""
89,"Travis Kelce",OFF,"",""
90,"Jordan Addison",OFF,"",""
91,"Jaxson Dart",OFF,"",""
92,"Kenny Gainwell",OFF,"",""
93,"Kyle Monangai",OFF,"",""
94,"Patrick Mahomes",OFF,"",""
95,"Dalton Kincaid",OFF,"",""
96,"Aaron Jones Sr.",OFF,"",""
97,"Bo Nix",OFF,"",""
98,"Matthew Stafford",OFF,"",""
99,"Jared Goff",OFF,"",""
100,"Dallas Goedert",OFF,"",""
101,"Mark Andrews",OFF,"",""
102,"Chris Rodriguez Jr.",OFF,"",""
103,"Tyler Allgeier",OFF,"",""
104,"Tank Bigsby",OFF,"",""
105,"Jonah Coleman",OFF,"",""
106,"Braelon Allen",OFF,"",""
107,"Ray Davis",OFF,"",""
108,"De'Zhaun Stribling",OFF,"",""
109,"Jonathon Brooks",OFF,"",""
110,"Alvin Kamara",OFF,"",""
111,"Tyrone Tracy Jr.",OFF,"",""
112,"Zach Charbonnet",OFF,"",""
113,"Brenton Strange",OFF,"",""
114,"Chig Okonkwo",OFF,"",""
115,"Rashid Shaheed",OFF,"",""
116,"Denzel Boston",OFF,"",""
117,"Dalton Schultz",OFF,"",""
118,"Adonai Mitchell",OFF,"",""
119,"Brian Robinson",OFF,"",""
120,"Isiah Pacheco",OFF,"",""
121,"Tre Tucker",OFF,"",""
122,"Jauan Jennings",OFF,"",""
123,"Jalen McMillan",OFF,"",""
124,"Jerry Jeudy",OFF,"",""
125,"AJ Barner",OFF,"",""
126,"Mike Washington Jr.",OFF,"",""
127,"Dontayvion Wicks",OFF,"",""
128,"Oronde Gadsden",OFF,"",""
129,"Jalen Nailor",OFF,"",""
130,"Tre' Harris",OFF,"",""
131,"Omar Cooper Jr.",OFF,"",""
132,"Kayshon Boutte",OFF,"",""
133,"Pat Bryant",OFF,"",""
134,"Ryan Flournoy",OFF,"",""
135,"Emmett Johnson",OFF,"",""
136,"Houston Texans DEF",DEF,"HOU","👑 Consensus DST1 / Will Anderson & Hunter Pressure Engine"
137,"Malik Washington",OFF,"",""
138,"Sean Tucker",OFF,"",""
139,"Keenan Allen",OFF,"",""
140,"Kimani Vidal",OFF,"",""
141,"Tank Dell",OFF,"",""
142,"Calvin Ridley",OFF,"",""
143,"Jaylin Noel",OFF,"",""
144,"Denver Broncos DEF",DEF,"DEN","👑 Consensus DST2 / Vance Joseph #1 Blitz Rate & Sacks"
145,"Travis Hunter",OFF,"",""
146,"Nicholas Singleton",OFF,"",""
147,"Rashod Bateman",OFF,"",""
148,"Isaac TeSlaa",OFF,"",""
149,"Jaydon Blue",OFF,"",""
