Rank,Player,Type,Team,Tag
1,"Jahmyr Gibbs",OFF,"",""
2,"Bijan Robinson",OFF,"",""
3,"Ja'Marr Chase",OFF,"",""
4,"Puka Nacua",OFF,"",""
5,"Jaxon Smith-Njigba",OFF,"",""
6,"Amon-Ra St. Brown",OFF,"",""
7,"Jonathan Taylor",OFF,"",""
8,"Christian McCaffrey",OFF,"",""
9,"CeeDee Lamb",OFF,"",""
10,"James Cook III",OFF,"",""
11,"Justin Jefferson",OFF,"",""
12,"Drake London",OFF,"",""
13,"Chase Brown",OFF,"",""
14,"A.J. Brown",OFF,"",""
15,"Saquon Barkley",OFF,"",""
16,"De'Von Achane",OFF,"",""
17,"Brock Bowers",OFF,"",""
18,"Nico Collins",OFF,"",""
19,"Omarion Hampton",OFF,"",""
20,"Derrick Henry",OFF,"",""
21,"Kenneth Walker III",OFF,"",""
22,"George Pickens",OFF,"",""
23,"Chris Olave",OFF,"",""
24,"Ashton Jeanty",OFF,"",""
25,"Trey McBride",OFF,"",""
26,"Malik Nabers",OFF,"",""
27,"Rashee Rice",OFF,"",""
28,"DeVonta Smith",OFF,"",""
29,"Zay Flowers",OFF,"",""
30,"Kyren Williams",OFF,"",""
31,"Tee Higgins",OFF,"",""
32,"Josh Allen",OFF,"",""
33,"Javonte Williams",OFF,"",""
34,"Tetairoa McMillan",OFF,"",""
35,"Breece Hall",OFF,"",""
36,"Garrett Wilson",OFF,"",""
37,"Ladd McConkey",OFF,"",""
38,"Jaylen Waddle",OFF,"",""
39,"Colston Loveland",OFF,"",""
40,"Emeka Egbuka",OFF,"",""
41,"Jeremiyah Love",OFF,"",""
42,"Lamar Jackson",OFF,"",""
43,"Travis Etienne Jr.",OFF,"",""
44,"Terry McLaurin",OFF,"",""
45,"Davante Adams",OFF,"",""
46,"D'Andre Swift",OFF,"",""
47,"Cam Skattebo",OFF,"",""
48,"Luther Burden III",OFF,"",""
49,"Drake Maye",OFF,"",""
50,"Bucky Irving",OFF,"",""
51,"Jameson Williams",OFF,"",""
52,"Quinshon Judkins",OFF,"",""
53,"Tyler Warren",OFF,"",""
54,"DJ Moore",OFF,"",""
55,"Rome Odunze",OFF,"",""
56,"David Montgomery",OFF,"",""
57,"Christian Watson",OFF,"",""
58,"Mike Evans",OFF,"",""
59,"Joe Burrow",OFF,"",""
60,"Bhayshul Tuten",OFF,"",""
61,"TreVeyon Henderson",OFF,"",""
62,"Jayden Daniels",OFF,"",""
63,"Jadarian Price",OFF,"",""
64,"Jalen Hurts",OFF,"",""
65,"Parker Washington",OFF,"",""
66,"Tucker Kraft",OFF,"",""
67,"Carnell Tate",OFF,"",""
68,"Jaylen Warren",OFF,"",""
69,"Rhamondre Stevenson",OFF,"",""
70,"Caleb Williams",OFF,"",""
71,"Brian Thomas Jr.",OFF,"",""
72,"Tony Pollard",OFF,"",""
73,"Marvin Harrison Jr.",OFF,"",""
74,"DK Metcalf",OFF,"",""
75,"Harold Fannin Jr.",OFF,"",""
76,"Justin Herbert",OFF,"",""
77,"Sam LaPorta",OFF,"",""
78,"Chris Godwin Jr.",OFF,"",""
79,"Rico Dowdle",OFF,"",""
80,"MarShawn Lloyd",OFF,"",""
81,"Kyle Pitts Sr.",OFF,"",""
82,"Courtland Sutton",OFF,"",""
83,"Trevor Lawrence",OFF,"",""
84,"Dak Prescott",OFF,"",""
85,"J.K. Dobbins",OFF,"",""
86,"Jordyn Brooks",LB,"MIA","🟢 Green Dot / LB1"
87,"Michael Pittman Jr.",OFF,"",""
88,"Michael Wilson",OFF,"",""
89,"Quentin Johnston",OFF,"",""
90,"Chuba Hubbard",OFF,"",""
91,"Jack Campbell",LB,"DET","🟢 Green Dot / LB2"
92,"Blake Corum",OFF,"",""
93,"Alec Pierce",OFF,"",""
94,"Josh Downs",OFF,"",""
95,"George Kittle",OFF,"",""
96,"Carson Schwesinger",LB,"CLE","🟢 Green Dot / LB3"
97,"RJ Harvey",OFF,"",""
98,"Jacory Croskey-Merritt",OFF,"",""
99,"Wan'Dale Robinson",OFF,"",""
100,"Stefon Diggs",OFF,"",""
101,"Roquan Smith",LB,"BAL","🟢 Green Dot / LB4"
102,"Brock Purdy",OFF,"",""
103,"Travis Kelce",OFF,"",""
104,"Jordan Addison",OFF,"",""
105,"Jaxson Dart",OFF,"",""
106,"Blake Cashman",LB,"MIN","🟢 Green Dot / LB5"
107,"Jordan Mason",OFF,"",""
108,"Jayden Reed",OFF,"",""
109,"Kenny Gainwell",OFF,"",""
110,"Kyle Monangai",OFF,"",""
111,"Ernest Jones IV",LB,"SEA","🟢 Green Dot / LB6"
112,"Patrick Mahomes",OFF,"",""
113,"Jakobi Meyers",OFF,"",""
114,"Bo Nix",OFF,"",""
115,"Rachaad White",OFF,"",""
116,"Foyesade Oluokun",LB,"JAC","🟢 Green Dot / LB7"
117,"Dalton Kincaid",OFF,"",""
118,"Makai Lemon",OFF,"",""
119,"Matthew Stafford",OFF,"",""
120,"Aaron Jones Sr.",OFF,"",""
121,"Fred Warner",LB,"SF","🟢 Green Dot / LB8"
122,"Jared Goff",OFF,"",""
123,"Dallas Goedert",OFF,"",""
124,"Isaiah Likely",OFF,"",""
125,"KC Concepcion",OFF,"",""
126,"Jamien Sherwood",LB,"NYJ","3-Down WLB / LB9"
127,"Mark Andrews",OFF,"",""
128,"Xavier Worthy",OFF,"",""
129,"Chris Rodriguez Jr.",OFF,"",""
130,"Kyler Murray",OFF,"",""
131,"Zack Baun",LB,"PHI","🟢 Green Dot / LB10"
132,"Baker Mayfield",OFF,"",""
133,"Dylan Sampson",OFF,"",""
134,"Cedric Gray",LB,"TEN","🟢 Green Dot / LB11"
135,"Matthew Golden",OFF,"",""
136,"Jalen Coker",OFF,"",""
137,"Khalil Shakir",OFF,"",""
138,"Jake Ferguson",OFF,"",""
139,"Nate Landman",LB,"LAR","🟢 Green Dot / LB12"
140,"Tyler Allgeier",OFF,"",""
141,"Woody Marks",OFF,"",""
142,"Jordan Love",OFF,"",""
143,"Jordyn Tyson",OFF,"",""
144,"Nick Bolton",LB,"KC","🟢 Green Dot / LB13"
